task id resource request_start request_end request_duration start end time downloaded executed uploaded type try_number
mProject 1 1536 1587389761734 1587389778237 16503 1587389761945 1587389778201 16256 193 15843 220 1536 1
mProject 6 1536 1587389761751 1587389778278 16527 1587389761947 1587389778264 16317 190 15916 211 1536 1
mProject 5 1536 1587389761750 1587389778284 16534 1587389761953 1587389778265 16312 215 15866 231 1536 1
mProject 7 1536 1587389761752 1587389778525 16773 1587389761958 1587389778506 16548 195 16129 224 1536 1
mProject 3 1536 1587389761747 1587389778543 16796 1587389761949 1587389778529 16580 229 16098 253 1536 1
mProject 4 1536 1587389761748 1587389778594 16846 1587389761955 1587389778575 16620 177 16250 193 1536 1
mProject 2 1536 1587389761746 1587389778664 16918 1587389761950 1587389778650 16700 205 16220 275 1536 1
mDiffFit 10 3008 1587389778281 1587389778714 433 1587389778361 1587389778698 337 238 58 41 3008 1
mDiffFit 9 3008 1587389778553 1587389778975 422 1587389778640 1587389778961 321 237 40 44 3008 1
mDiffFit 18 2560 1587389778549 1587389779009 460 1587389778641 1587389778990 349 232 76 41 2560 1
mDiffFit 20 3008 1587389778548 1587389779022 474 1587389778641 1587389779003 362 250 82 30 3008 1
mDiffFit 12 3008 1587389778669 1587389779058 389 1587389778758 1587389779043 285 189 57 39 3008 1
mDiffFit 15 3008 1587389778676 1587389779100 424 1587389778763 1587389779085 322 218 40 64 3008 1
mDiffFit 16 3008 1587389778670 1587389779110 440 1587389778761 1587389779096 335 255 49 31 3008 1
mDiffFit 8 3008 1587389778671 1587389779155 484 1587389778770 1587389779136 366 251 87 28 3008 1
mDiffFit 11 1024 1587389778528 1587389779157 629 1587389778616 1587389779137 521 248 220 53 1024 1
mDiffFit 14 3008 1587389778673 1587389779177 504 1587389778770 1587389779156 386 296 52 38 3008 1
mDiffFit 13 3008 1587389778674 1587389779274 600 1587389778770 1587389779254 484 332 50 102 3008 1
mDiffFit 19 1024 1587389778551 1587389779297 746 1587389778642 1587389779281 639 454 147 38 1024 1
mDiffFit 17 1024 1587389778602 1587389779343 741 1587389778701 1587389779323 622 431 142 49 1024 1
mDiffFit 22 1024 1587389778529 1587389779712 1183 1587389778618 1587389779693 1075 437 597 41 1024 1
mDiffFit 21 1024 1587389778607 1587389780023 1416 1587389778708 1587389780004 1296 527 724 45 1024 1
mConcatFit 23 512 1587389780036 1587389780807 771 1587389780123 1587389780792 669 424 198 47 512 1
mBgModel 24 1024 1587389780812 1587389782056 1244 1587389780902 1587389782037 1135 110 964 61 1024 1
mBackground 31 1024 1587389782064 1587389782723 659 1587389782163 1587389782704 541 222 119 200 1024 1
mBackground 29 1024 1587389782062 1587389782859 797 1587389782142 1587389782845 703 374 119 210 1024 1
mBackground 25 1024 1587389782063 1587389782886 823 1587389782157 1587389782867 710 379 125 206 1024 1
mBackground 27 1024 1587389782061 1587389782886 825 1587389782154 1587389782867 713 379 118 216 1024 1
mBackground 28 1024 1587389782065 1587389782963 898 1587389782144 1587389782949 805 372 120 313 1024 1
mBackground 26 512 1587389782060 1587389783505 1445 1587389782153 1587389783490 1337 811 241 285 512 1
mBackground 30 512 1587389782066 1587389783912 1846 1587389782147 1587389783898 1751 934 260 557 512 1
mImgtbl 32 1024 1587389783914 1587389784786 872 1587389783992 1587389784772 780 619 100 61 1024 1
mAdd 33 1024 1587389784789 1587389786746 1957 1587389784876 1587389786725 1849 1196 377 276 1024 1
mViewer 34 1024 1587389786750 1587389788132 1382 1587389786833 1587389788112 1279 263 894 122 1024 1
