task id resource start end time downloaded executed uploaded type
mProjectPP 3 256 0 5285 5285 401 4280 604 256
mProjectPP 2 256 110 6208 6098 957 4441 700 256
mProjectPP 7 256 806 7132 6326 1069 4463 794 256
mProjectPP 5 256 763 7140 6377 1070 4479 828 256
mProjectPP 6 256 782 7170 6388 1040 4499 849 256
mProjectPP 8 256 764 7151 6387 1082 4421 884 256
mProjectPP 9 256 930 7285 6355 1047 4443 865 256
mProjectPP 1 256 772 7323 6551 1127 4622 802 256
mProjectPP 4 256 751 7297 6546 1026 4722 798 256
mProjectPP 10 256 1807 8146 6339 1032 4481 826 256
mDiffFit 11 256 8268 11005 2737 1671 683 383 256
mDiffFit 17 256 8256 11542 3286 2322 660 304 256
mDiffFit 22 256 8307 11582 3275 2521 480 274 256
mDiffFit 14 256 8238 11597 3359 2424 657 278 256
mDiffFit 12 256 8270 11632 3362 2332 739 291 256
mDiffFit 23 256 8251 11615 3364 2351 680 333 256
mDiffFit 15 256 8279 11635 3356 2512 544 300 256
mDiffFit 24 256 8202 11660 3458 2236 899 323 256
mDiffFit 18 256 8304 11846 3542 2292 860 390 256
mDiffFit 21 256 8225 11824 3599 2541 701 357 256
mDiffFit 13 256 8707 13599 4892 3629 862 401 256
mDiffFit 20 256 8915 13787 4872 3602 881 389 256
mDiffFit 25 256 8992 13746 4754 3789 658 307 256
mDiffFit 19 256 9054 13944 4890 3729 719 442 256
mDiffFit 27 256 9141 13988 4847 3817 703 327 256
mDiffFit 26 256 9094 14060 4966 3857 755 354 256
mDiffFit 16 256 9093 14403 5310 3683 937 690 256
mConcatFit 28 256 14533 16452 1919 720 1022 177 256
mBgModel 29 256 16622 30174 13552 148 13243 161 256
mBackground 38 256 30357 32022 1665 638 401 626 256
mBackground 37 256 30297 31972 1675 580 400 695 256
mBackground 30 256 30359 32263 1904 713 404 787 256
mBackground 35 256 30327 32259 1932 939 400 593 256
mBackground 33 256 30380 32330 1950 780 580 590 256
mBackground 32 256 30311 32296 1985 844 403 738 256
mBackground 39 256 30472 32511 2039 885 401 753 256
mBackground 36 256 30501 32580 2079 858 524 697 256
mBackground 31 256 30380 32680 2300 918 401 981 256
mBackground 34 256 30526 32937 2411 999 562 850 256
mImgtbl 40 256 33206 36929 3723 3160 241 322 256
mAdd 41 256 44386 54411 10025 7860 1240 925 256
mShrink 42 256 54766 56863 2097 721 599 777 256
mJPEG 43 256 57127 61347 4220 559 1680 1981 256
mProjectPP 10 256 90 5258 5168 340 4199 629 256
mProjectPP 1 256 0 5331 5331 399 4362 570 256
mProjectPP 2 256 156 5704 5548 477 4301 770 256
mProjectPP 7 256 174 5705 5531 476 4361 694 256
mProjectPP 6 256 374 5967 5593 377 4503 713 256
mProjectPP 8 256 212 5883 5671 377 4563 731 256
mProjectPP 3 256 236 5922 5686 418 4523 745 256
mProjectPP 5 256 235 5954 5719 497 4520 702 256
mProjectPP 9 256 289 6009 5720 477 4501 742 256
mProjectPP 4 256 163 6046 5883 437 4560 886 256
mDiffFit 16 256 6235 8576 2341 1260 739 342 256
mDiffFit 22 256 6223 8752 2529 1758 500 271 256
mDiffFit 23 256 5957 8860 2903 2237 343 323 256
mDiffFit 25 256 6193 8891 2698 2076 324 298 256
mDiffFit 17 256 6385 8925 2540 1900 340 300 256
mDiffFit 26 256 5923 8920 2997 1926 702 369 256
mDiffFit 12 256 6291 9085 2794 2082 342 370 256
mDiffFit 15 256 6133 8996 2863 2029 521 313 256
mDiffFit 14 256 6112 8983 2871 2260 302 309 256
mDiffFit 11 256 5982 9133 3151 2091 662 398 256
mDiffFit 18 256 6200 9195 2995 1966 681 348 256
mDiffFit 27 256 6417 9272 2855 2178 381 296 256
mDiffFit 19 256 6442 9385 2943 2261 360 322 256
mDiffFit 21 256 6197 9418 3221 2336 540 345 256
mDiffFit 13 256 6358 9542 3184 2257 522 405 256
mDiffFit 24 256 6413 9668 3255 2180 701 374 256
mDiffFit 20 256 6471 9740 3269 2221 682 366 256
mConcatFit 28 256 10006 11971 1965 825 982 158 256
mBgModel 29 256 12085 25311 13226 129 12937 160 256
mBackground 35 256 25653 27179 1526 580 301 645 256
mBackground 38 256 25610 27220 1610 690 283 637 256
mBackground 39 256 25554 27238 1684 657 363 664 256
mBackground 33 256 25648 27311 1663 698 321 644 256
mBackground 30 256 25603 27287 1684 650 401 633 256
mBackground 36 256 25554 27458 1904 717 480 707 256
mBackground 31 256 25759 27539 1780 716 401 663 256
mBackground 34 256 25621 27563 1942 820 561 561 256
mBackground 37 256 25653 27639 1986 979 340 667 256
mBackground 32 256 25754 27695 1941 879 402 660 256
mImgtbl 40 256 27847 30912 3065 2647 259 159 256
mAdd 41 256 46617 57131 10514 8298 1240 976 256
mShrink 42 256 57515 59387 1872 638 581 653 256
mJPEG 43 256 59613 62187 2574 560 1761 253 256
mProjectPP 6 256 59 5293 5234 366 4301 567 256
mProjectPP 9 256 56 5305 5249 389 4244 616 256
mProjectPP 7 256 40 5295 5255 459 4220 576 256
mProjectPP 10 256 79 5334 5255 358 4263 634 256
mProjectPP 5 256 46 5327 5281 409 4263 609 256
mProjectPP 8 256 77 5370 5293 380 4240 673 256
mProjectPP 4 256 93 5416 5323 397 4301 625 256
mProjectPP 2 256 83 5425 5342 413 4301 628 256
mProjectPP 1 256 55 5490 5435 442 4402 591 256
mProjectPP 3 256 0 5562 5562 434 4221 907 256
mDiffFit 14 256 5878 7694 1816 1201 321 294 256
mDiffFit 25 256 5554 7895 2341 1523 520 298 256
mDiffFit 22 256 5571 7932 2361 1729 340 292 256
mDiffFit 15 256 5734 8188 2454 1721 381 352 256
mDiffFit 13 256 5581 8062 2481 1453 561 467 256
mDiffFit 27 256 5546 8267 2721 1794 523 404 256
mDiffFit 26 256 5533 8298 2765 1525 862 378 256
mDiffFit 11 256 5581 8279 2698 1834 539 325 256
mDiffFit 21 256 5567 8373 2806 1786 680 340 256
mDiffFit 18 256 5878 8339 2461 1363 539 559 256
mDiffFit 20 256 5589 8349 2760 1695 684 381 256
mDiffFit 24 256 5500 8446 2946 1876 722 348 256
mDiffFit 23 256 5532 8519 2987 2266 380 341 256
mDiffFit 12 256 5913 8605 2692 2016 382 294 256
mDiffFit 16 256 5984 8616 2632 1744 540 348 256
mDiffFit 19 256 5578 8947 3369 2548 343 478 256
mDiffFit 17 256 6034 9175 3141 2361 481 299 256
mConcatFit 28 256 9312 11167 1855 663 1002 190 256
mBgModel 29 256 11486 24725 13239 123 12964 152 256
mBackground 34 256 25048 26583 1535 605 300 630 256
mBackground 33 256 25137 26606 1469 599 320 550 256
mBackground 37 256 25105 26599 1494 593 320 581 256
mBackground 38 256 25141 26766 1625 669 321 635 256
mBackground 36 256 25055 26726 1671 619 341 711 256
mBackground 30 256 25077 26830 1753 568 463 722 256
mBackground 31 256 25070 26845 1775 579 460 736 256
mBackground 32 256 25044 26846 1802 639 441 722 256
mBackground 39 256 25099 26953 1854 585 320 949 256
mBackground 35 256 25235 27080 1845 760 320 765 256
mImgtbl 40 256 27332 31378 4046 3423 441 182 256
mAdd 41 256 37616 47782 10166 8165 1075 926 256
mShrink 42 256 48097 49995 1898 538 721 639 256
mJPEG 43 256 50315 52726 2411 540 1661 210 256
mProjectPP 7 256 89 5332 5243 400 4201 642 256
mProjectPP 2 256 89 5364 5275 377 4221 677 256
mProjectPP 4 256 51 5371 5320 350 4221 749 256
mProjectPP 6 256 35 5373 5338 410 4320 608 256
mProjectPP 8 256 0 5345 5345 360 4299 686 256
mProjectPP 9 256 57 5556 5499 377 4280 842 256
mProjectPP 5 256 92 5584 5492 480 4280 732 256
mProjectPP 3 256 11 5544 5533 441 4239 853 256
mProjectPP 1 256 1 5675 5674 390 4542 742 256
mProjectPP 10 256 20 5748 5728 340 4282 1106 256
mDiffFit 22 256 5897 7938 2041 1391 340 310 256
mDiffFit 27 256 5995 7940 1945 1258 363 324 256
mDiffFit 23 256 5723 7924 2201 1368 522 311 256
mDiffFit 13 256 5898 8068 2170 1318 541 311 256
