task id resource start end time downloaded executed uploaded type
mProjectPP 7 2048 71 1332 1261 321 529 411 sdbcs
mProjectPP 4 2048 0 1320 1320 294 536 490 sdbcs
mProjectPP 1 1536 23 1373 1350 263 683 404 sdbcs
mProjectPP 5 1536 66 1451 1385 264 673 448 sdbcs
mProjectPP 8 2048 270 1497 1227 264 541 422 sdbcs
mProjectPP 3 1536 110 1526 1416 286 700 430 sdbcs
mProjectPP 2 1024 39 1802 1763 288 1027 448 sdbcs
mDiffFit 19 1024 1598 2497 899 565 101 233 sdbcs
mDiffFit 18 1024 1629 2521 892 457 130 305 sdbcs
mDiffFit 16 1024 1655 2562 907 469 136 302 sdbcs
mDiffFit 22 512 1668 2785 1117 711 163 243 sdbcs
mDiffFit 13 512 1661 2917 1256 673 262 321 sdbcs
mDiffFit 12 512 1681 2948 1267 795 185 287 sdbcs
mDiffFit 20 512 1566 2929 1363 783 265 315 sdbcs
mDiffFit 15 1024 2056 2965 909 532 103 274 sdbcs
mDiffFit 11 1024 2032 2990 958 508 163 287 sdbcs
mProjectPP 6 512 62 3093 3031 309 2137 585 sdbcs
mDiffFit 14 512 2094 3449 1355 870 162 323 sdbcs
mProjectPP 9 2048 2185 3431 1246 270 536 440 sdbcs
mDiffFit 17 512 1675 3525 1850 1400 183 267 sdbcs
mProjectPP 10 2048 2224 3534 1310 290 564 456 sdbcs
mDiffFit 23 512 3241 4430 1189 647 262 280 sdbcs
mDiffFit 21 512 3269 4592 1323 699 265 359 sdbcs
mDiffFit 26 1024 3721 4636 915 449 140 326 sdbcs
mDiffFit 24 1024 3686 4746 1060 430 182 448 sdbcs
mDiffFit 25 512 3755 4936 1181 691 161 329 sdbcs
mDiffFit 27 512 3757 4999 1242 658 280 304 sdbcs
mConcatFit 28 512 5172 6156 984 324 522 138 sdbcs
mBgModel 29 1536 6331 8724 2393 131 2136 126 sdbcs
mBackground 33 256 8972 10406 1434 564 302 568 sdbcs
mBackground 38 256 9107 10638 1531 579 303 649 sdbcs
mBackground 32 256 8951 10638 1687 579 303 805 sdbcs
mBackground 35 256 8972 10684 1712 619 320 773 sdbcs
mBackground 34 256 8959 10664 1705 589 320 796 sdbcs
mBackground 36 256 8948 10718 1770 638 320 812 sdbcs
mBackground 30 256 8961 10906 1945 899 320 726 sdbcs
mBackground 31 256 8977 11000 2023 1138 302 583 sdbcs
mBackground 39 256 10527 13631 3104 1765 502 837 sdbcs
mBackground 37 256 10483 13670 3187 1816 520 851 sdbcs
mImgtbl 40 256 13821 17759 3938 3517 261 160 sdbcs
mAdd 41 512 17911 21437 3526 2424 442 660 sdbcs
mShrink 42 256 21740 23717 1977 698 543 736 sdbcs
mJPEG 43 512 23915 25420 1505 460 861 184 sdbcs
mProjectPP 10 2048 68 1290 1222 251 535 436 sdbcs
mProjectPP 8 2048 0 1274 1274 319 530 425 sdbcs
mProjectPP 4 2048 65 1382 1317 348 531 438 sdbcs
mProjectPP 9 2048 4 1389 1385 284 533 568 sdbcs
mProjectPP 1 1536 40 1519 1479 279 673 527 sdbcs
mProjectPP 7 2048 67 1553 1486 266 531 689 sdbcs
mProjectPP 3 1536 8 1575 1567 309 675 583 sdbcs
mProjectPP 2 1024 31 1946 1915 406 1036 473 sdbcs
mProjectPP 5 1536 66 2034 1968 639 682 647 sdbcs
mDiffFit 26 1024 1672 2575 903 445 128 330 sdbcs
mDiffFit 16 1024 1728 2678 950 485 139 326 sdbcs
mDiffFit 18 1024 1752 2729 977 526 179 272 sdbcs
mDiffFit 25 512 1676 2848 1172 723 179 270 sdbcs
mDiffFit 27 512 1576 2884 1308 800 202 306 sdbcs
mDiffFit 20 512 1693 2993 1300 686 263 351 sdbcs
mDiffFit 15 1024 2284 3062 778 440 82 256 sdbcs
mProjectPP 6 512 72 3137 3065 349 2145 571 sdbcs
mDiffFit 12 512 1801 3285 1484 766 299 419 sdbcs
mDiffFit 11 1024 2246 3253 1007 444 177 386 sdbcs
mDiffFit 14 512 2286 3527 1241 718 263 260 sdbcs
mDiffFit 19 1024 2268 3555 1287 921 86 280 sdbcs
mDiffFit 13 512 2309 3642 1333 742 265 326 sdbcs
mDiffFit 22 512 2324 3709 1385 945 167 273 sdbcs
mDiffFit 21 512 3455 4684 1229 651 263 315 sdbcs
mDiffFit 23 512 3476 4856 1380 813 198 369 sdbcs
mDiffFit 24 1024 3445 4933 1488 968 177 343 sdbcs
mDiffFit 17 512 3363 5757 2394 1862 260 272 sdbcs
mConcatFit 28 512 5929 6938 1009 387 468 154 sdbcs
mBgModel 29 1536 7134 9495 2361 114 2122 125 sdbcs
mBackground 39 256 9804 11228 1424 537 304 583 sdbcs
mBackground 30 256 9813 11298 1485 533 321 631 sdbcs
