task id resource start end time type
mProjectPP 9 2048 448 1737 1289 sdbcs 
mProjectPP 7 2048 60 1351 1291 sdbcs 
mProjectPP 4 2048 63 1354 1291 sdbcs 
mProjectPP 1 1536 32 1436 1404 sdbcs 
mProjectPP 2 1024 41 1859 1818 sdbcs 
mProjectPP 6 512 61 3088 3027 sdbcs 
mProjectPP 8 2048 94 1363 1269 sdbcs 
mProjectPP 10 2048 497 1735 1238 sdbcs 
mProjectPP 3 1536 61 1511 1450 sdbcs 
mProjectPP 5 1536 64 1596 1532 sdbcs 
mDiffFit 26 1024 1988 2968 980 sdbcs 
mDiffFit 21 512 3330 4901 1571 sdbcs 
mDiffFit 16 1024 1675 2700 1025 sdbcs 
mDiffFit 20 512 1607 3213 1606 sdbcs 
mDiffFit 27 512 2000 3259 1259 sdbcs 
mDiffFit 19 1024 1783 2799 1016 sdbcs 
mDiffFit 18 1024 1647 2608 961 sdbcs 
mDiffFit 24 1024 3383 4628 1245 sdbcs 
mDiffFit 25 512 2053 3498 1445 sdbcs 
mDiffFit 15 1024 2107 2998 891 sdbcs 
mDiffFit 17 512 2018 3648 1630 sdbcs 
mDiffFit 13 512 1815 3184 1369 sdbcs 
mDiffFit 23 512 3318 4824 1506 sdbcs 
mDiffFit 11 1024 2105 3042 937 sdbcs 
mDiffFit 12 512 1702 3136 1434 sdbcs 
mDiffFit 22 512 1818 3065 1247 sdbcs 
mDiffFit 14 512 2138 3479 1341 sdbcs 
mConcatFit 28 512 5461 6444 983 sdbcs 
mBgModel 29 1536 6571 8971 2400 sdbcs 
mBackground 31 256 9235 11063 1828 sdbcs 
mBackground 30 256 9210 10843 1633 sdbcs 
mBackground 33 256 9240 10926 1686 sdbcs 
mBackground 35 256 9200 10867 1667 sdbcs 
mBackground 38 256 9287 10892 1605 sdbcs 
mBackground 32 256 9218 10762 1544 sdbcs 
mBackground 39 256 9501 11355 1854 sdbcs 
mBackground 34 256 9268 11026 1758 sdbcs 
mBackground 36 256 9212 10824 1612 sdbcs 
mBackground 37 256 9559 11713 2154 sdbcs 
mImgtbl 40 256 12194 16053 3859 sdbcs 
mAdd 41 512 16261 20109 3848 sdbcs 
mShrink 42 256 20376 22156 1780 sdbcs 
mJPEG 43 512 22394 23873 1479 sdbcs 
