task id resource start end time type
mProjectPP 9 2048 448 1737 1291 sdbcs 
mProjectPP 7 2048 60 1351 1333 sdbcs 
mProjectPP 4 2048 63 1354 1293 sdbcs 
mProjectPP 1 1536 32 1436 1437 sdbcs 
mProjectPP 2 1024 41 1859 1857 sdbcs 
mProjectPP 6 512 61 3088 2901 sdbcs 
mProjectPP 8 2048 94 1363 1299 sdbcs 
mProjectPP 10 2048 497 1735 1301 sdbcs 
mProjectPP 3 1536 61 1511 1528 sdbcs 
mProjectPP 5 1536 64 1596 1463 sdbcs 
mDiffFit 26 1024 1988 2968 1097 sdbcs 
mDiffFit 21 512 3330 4901 1515 sdbcs 
mDiffFit 16 1024 1675 2700 1100 sdbcs 
mDiffFit 20 512 1607 3213 1843 sdbcs 
mDiffFit 27 512 2000 3259 1417 sdbcs 
mDiffFit 19 1024 1783 2799 1099 sdbcs 
mDiffFit 18 1024 1647 2608 1092 sdbcs 
mDiffFit 24 1024 3383 4628 945 sdbcs 
mDiffFit 25 512 2053 3498 1458 sdbcs 
mDiffFit 15 1024 2107 2998 1053 sdbcs 
mDiffFit 17 512 2018 3648 1469 sdbcs 
mDiffFit 13 512 1815 3184 1536 sdbcs 
mDiffFit 23 512 3318 4824 1256 sdbcs 
mDiffFit 11 1024 2105 3042 1061 sdbcs 
mDiffFit 12 512 1702 3136 1461 sdbcs 
mDiffFit 22 512 1818 3065 1384 sdbcs 
mDiffFit 14 512 2138 3479 1330 sdbcs 
mConcatFit 28 512 5461 6444 965 sdbcs 
mBgModel 29 1536 6571 8971 2374 sdbcs 
mBackground 31 256 9235 11063 1815 sdbcs 
mBackground 30 256 9210 10843 1715 sdbcs 
mBackground 33 256 9240 10926 1760 sdbcs 
mBackground 35 256 9200 10867 1799 sdbcs 
mBackground 38 256 9287 10892 1723 sdbcs 
mBackground 32 256 9218 10762 1805 sdbcs 
mBackground 39 256 9501 11355 1757 sdbcs 
mBackground 34 256 9268 11026 1799 sdbcs 
mBackground 36 256 9212 10824 1783 sdbcs 
mBackground 37 256 9559 11713 1716 sdbcs 
mImgtbl 40 256 12194 16053 3577 sdbcs 
mAdd 41 512 16261 20109 3687 sdbcs 
mShrink 42 256 20376 22156 1913 sdbcs 
mJPEG 43 512 22394 23873 1473 sdbcs 
