task id resource request_start request_end request_duration start end time downloaded executed uploaded type
generateData.js 1 lambda-128 0 6420 6420 1615931666135 1615931668356 2221 740 1240 241 lambda-128
createDat.js 4 lambda-128 6438 12412 5974 1615931672477 1615931674757 2280 760 1261 259 lambda-128
createDat.js 5 lambda-128 6440 12413 5973 1615931672477 1615931674697 2220 740 1221 259 lambda-128
createDat.js 3 lambda-128 6435 12434 5999 1615931672488 1615931674730 2242 760 1240 242 lambda-128
createDat.js 2 lambda-128 6430 12473 6043 1615931671795 1615931673112 1317 107 1075 135 lambda-128
ellipsoids-openmp 273 lambda-128 12648 47026 34378 1615931679002 1615931710742 31740 759 30720 261 lambda-128
ellipsoids-openmp 312 lambda-128 12728 47039 34311 1615931679132 1615931710414 31282 739 30260 283 lambda-128
ellipsoids-openmp 214 lambda-128 12538 47398 34860 1615931678299 1615931709278 30979 118 30660 201 lambda-128
ellipsoids-openmp 393 lambda-128 12828 47484 34656 1615931679394 1615931711694 32300 740 31280 280 lambda-128
ellipsoids-openmp 365 lambda-128 12787 47596 34809 1615931679269 1615931710669 31400 780 30300 320 lambda-128
ellipsoids-openmp 136 lambda-128 12944 47615 34671 1615931679287 1615931711002 31715 739 30680 296 lambda-128
ellipsoids-openmp 132 lambda-128 12941 47683 34742 1615931679405 1615931711884 32479 740 31479 260 lambda-128
ellipsoids-openmp 110 lambda-128 12921 47690 34769 1615931679320 1615931711880 32560 759 31521 280 lambda-128
ellipsoids-openmp 141 lambda-128 12947 47706 34759 1615931679398 1615931711466 32068 740 31040 288 lambda-128
ellipsoids-openmp 125 lambda-128 12936 47714 34778 1615931679378 1615931711693 32315 741 31281 293 lambda-128
ellipsoids-openmp 320 lambda-128 12739 47724 34985 1615931679223 1615931710788 31565 740 30521 304 lambda-128
ellipsoids-openmp 112 lambda-128 12923 47763 34840 1615931679352 1615931712158 32806 760 31760 286 lambda-128
ellipsoids-openmp 147 lambda-128 12954 47773 34819 1615931679380 1615931712634 33254 740 32221 293 lambda-128
ellipsoids-openmp 146 lambda-128 12953 47784 34831 1615931679297 1615931710637 31340 758 30322 260 lambda-128
ellipsoids-openmp 278 lambda-128 12654 47812 35158 1615931678996 1615931710149 31153 779 30080 294 lambda-128
ellipsoids-openmp 323 lambda-128 12742 47828 35086 1615931679202 1615931711463 32261 781 31200 280 lambda-128
ellipsoids-openmp 389 lambda-128 12825 47849 35024 1615931679300 1615931711709 32409 780 31320 309 lambda-128
ellipsoids-openmp 135 lambda-128 12943 47853 34910 1615931679408 1615931711808 32400 779 31260 361 lambda-128
ellipsoids-openmp 157 lambda-128 12962 47909 34947 1615931679422 1615931711282 31860 720 30860 280 lambda-128
ellipsoids-openmp 369 lambda-128 12795 47917 35122 1615931679300 1615931712509 33209 740 32201 268 lambda-128
ellipsoids-openmp 362 lambda-128 12785 47920 35135 1615931679233 1615931711513 32280 740 31241 299 lambda-128
ellipsoids-openmp 168 lambda-128 12976 47946 34970 1615931679379 1615931711862 32483 760 31460 263 lambda-128
ellipsoids-openmp 290 lambda-128 12668 47949 35281 1615931679024 1615931710046 31022 741 30040 241 lambda-128
ellipsoids-openmp 229 lambda-128 12563 47963 35400 1615931678957 1615931710798 31841 741 30801 299 lambda-128
ellipsoids-openmp 350 lambda-128 12772 47968 35196 1615931679227 1615931711568 32341 740 31281 320 lambda-128
ellipsoids-openmp 145 lambda-128 12951 47973 35022 1615931679446 1615931712043 32597 760 31501 336 lambda-128
ellipsoids-openmp 367 lambda-128 12793 47978 35185 1615931679248 1615931711367 32119 759 31040 320 lambda-128
ellipsoids-openmp 208 lambda-128 12527 47983 35456 1615931679001 1615931711289 32288 738 31241 309 lambda-128
ellipsoids-openmp 114 lambda-128 12925 48000 35075 1615931679360 1615931711720 32360 740 31280 340 lambda-128
