task id resource request_start request_end request_duration start end time downloaded executed uploaded type
generateData.js 1 lambda-1024 0 633 633 1615755231705 1615755231914 209 45 114 50 lambda-1024
createDat.js 2 lambda-1024 649 1238 589 1615755232321 1615755232542 221 32 145 44 lambda-1024
createDat.js 5 lambda-1024 654 1455 801 1615755232621 1615755232805 184 27 111 46 lambda-1024
createDat.js 3 lambda-1024 650 1888 1238 1615755232988 1615755233303 315 108 148 59 lambda-1024
createDat.js 4 lambda-1024 654 1989 1335 1615755233066 1615755233385 319 99 147 73 lambda-1024
ellipsoids-openmp 100 lambda-1024 1357 6145 4788 1615755233755 1615755237505 3750 99 3565 86 lambda-1024
ellipsoids-openmp 15 lambda-1024 1361 6245 4884 1615755233834 1615755237631 3797 91 3629 77 lambda-1024
ellipsoids-openmp 27 lambda-1024 1369 6255 4886 1615755233935 1615755237635 3700 94 3490 116 lambda-1024
ellipsoids-openmp 17 lambda-1024 1361 6260 4899 1615755233849 1615755237645 3796 89 3629 78 lambda-1024
ellipsoids-openmp 18 lambda-1024 1362 6262 4900 1615755233882 1615755237644 3762 108 3561 93 lambda-1024
ellipsoids-openmp 20 lambda-1024 1362 6306 4944 1615755233888 1615755237690 3802 102 3608 92 lambda-1024
ellipsoids-openmp 101 lambda-1024 1358 6355 4997 1615755233775 1615755237748 3973 95 3770 108 lambda-1024
ellipsoids-openmp 33 lambda-1024 1371 6423 5052 1615755234057 1615755237840 3783 94 3606 83 lambda-1024
ellipsoids-openmp 32 lambda-1024 1371 6453 5082 1615755234095 1615755237845 3750 93 3583 74 lambda-1024
ellipsoids-openmp 28 lambda-1024 1369 6462 5093 1615755234035 1615755237867 3832 95 3631 106 lambda-1024
ellipsoids-openmp 36 lambda-1024 1372 6506 5134 1615755234228 1615755237922 3694 99 3506 89 lambda-1024
ellipsoids-openmp 102 lambda-1024 1358 6544 5186 1615755233089 1615755237948 4859 30 4757 72 lambda-1024
ellipsoids-openmp 24 lambda-1024 1368 6560 5192 1615755233925 1615755237950 4025 96 3806 123 lambda-1024
ellipsoids-openmp 35 lambda-1024 1371 6569 5198 1615755234143 1615755237972 3829 94 3650 85 lambda-1024
ellipsoids-openmp 39 lambda-1024 1372 6678 5306 1615755234410 1615755238090 3680 94 3521 65 lambda-1024
ellipsoids-openmp 40 lambda-1024 1373 6690 5317 1615755234339 1615755238106 3767 84 3590 93 lambda-1024
ellipsoids-openmp 38 lambda-1024 1372 6725 5353 1615755234327 1615755238125 3798 92 3612 94 lambda-1024
ellipsoids-openmp 34 lambda-1024 1371 6767 5396 1615755234382 1615755238164 3782 104 3580 98 lambda-1024
ellipsoids-openmp 25 lambda-1024 1369 6892 5523 1615755233395 1615755238296 4901 34 4780 87 lambda-1024
ellipsoids-openmp 21 lambda-1024 1363 6897 5534 1615755233311 1615755238252 4941 31 4826 84 lambda-1024
ellipsoids-openmp 44 lambda-1024 1374 6903 5529 1615755234489 1615755238304 3815 102 3619 94 lambda-1024
ellipsoids-openmp 43 lambda-1024 1373 6973 5600 1615755234444 1615755238374 3930 94 3746 90 lambda-1024
ellipsoids-openmp 46 lambda-1024 1374 6978 5604 1615755234559 1615755238381 3822 91 3630 101 lambda-1024
ellipsoids-openmp 48 lambda-1024 1375 7003 5628 1615755234555 1615755238391 3836 95 3628 113 lambda-1024
ellipsoids-openmp 50 lambda-1024 1375 7018 5643 1615755234602 1615755238414 3812 100 3622 90 lambda-1024
ellipsoids-openmp 59 lambda-1024 1378 7021 5643 1615755234997 1615755238408 3411 101 3249 61 lambda-1024
ellipsoids-openmp 52 lambda-1024 1376 7032 5656 1615755234661 1615755238445 3784 95 3609 80 lambda-1024
ellipsoids-openmp 67 lambda-1024 1381 7130 5749 1615755234920 1615755238539 3619 95 3431 93 lambda-1024
ellipsoids-openmp 70 lambda-1024 1382 7133 5751 1615755234944 1615755238537 3593 96 3413 84 lambda-1024
ellipsoids-openmp 63 lambda-1024 1379 7139 5760 1615755234895 1615755238542 3647 96 3447 104 lambda-1024
ellipsoids-openmp 65 lambda-1024 1380 7185 5805 1615755234911 1615755238584 3673 126 3446 101 lambda-1024
ellipsoids-openmp 11 lambda-1024 1360 7253 5893 1615755233799 1615755238636 4837 101 4657 79 lambda-1024
ellipsoids-openmp 61 lambda-1024 1378 7284 5906 1615755234861 1615755238668 3807 93 3613 101 lambda-1024
ellipsoids-openmp 104 lambda-1024 1359 7305 5946 1615755233860 1615755238687 4827 93 4646 88 lambda-1024
ellipsoids-openmp 22 lambda-1024 1364 7322 5958 1615755233905 1615755238705 4800 88 4589 123 lambda-1024
ellipsoids-openmp 105 lambda-1024 1359 7325 5966 1615755233829 1615755238706 4877 100 4712 65 lambda-1024
ellipsoids-openmp 23 lambda-1024 1364 7358 5994 1615755233949 1615755238741 4792 96 4620 76 lambda-1024
ellipsoids-openmp 84 lambda-1024 1386 7372 5986 1615755235245 1615755238770 3525 100 3363 62 lambda-1024
ellipsoids-openmp 72 lambda-1024 1383 7374 5991 1615755235032 1615755238774 3742 88 3546 108 lambda-1024
ellipsoids-openmp 16 lambda-1024 1361 7403 6042 1615755233918 1615755238784 4866 100 4661 105 lambda-1024
ellipsoids-openmp 78 lambda-1024 1384 7408 6024 1615755235164 1615755238784 3620 88 3431 101 lambda-1024
ellipsoids-openmp 9 lambda-1024 1387 7454 6067 1615755235351 1615755238836 3485 100 3304 81 lambda-1024
ellipsoids-openmp 13 lambda-1024 1360 7456 6096 1615755233821 1615755238843 5022 103 4815 104 lambda-1024
ellipsoids-openmp 19 lambda-1024 1362 7491 6129 1615755233871 1615755238839 4968 97 4792 79 lambda-1024
ellipsoids-openmp 83 lambda-1024 1386 7494 6108 1615755235240 1615755238866 3626 103 3426 97 lambda-1024
ellipsoids-openmp 12 lambda-1024 1360 7501 6141 1615755233828 1615755238868 5040 97 4846 97 lambda-1024
ellipsoids-openmp 10 lambda-1024 1357 7520 6163 1615755233798 1615755238891 5093 97 4882 114 lambda-1024
ellipsoids-openmp 14 lambda-1024 1360 7524 6164 1615755233853 1615755238885 5032 106 4835 91 lambda-1024
ellipsoids-openmp 79 lambda-1024 1385 7528 6143 1615755235222 1615755238897 3675 95 3491 89 lambda-1024
ellipsoids-openmp 29 lambda-1024 1370 7550 6180 1615755233996 1615755238878 4882 94 4688 100 lambda-1024
ellipsoids-openmp 103 lambda-1024 1359 7580 6221 1615755233791 1615755238937 5146 99 4909 138 lambda-1024
ellipsoids-openmp 95 lambda-1024 1389 7610 6221 1615755235446 1615755238971 3525 92 3346 87 lambda-1024
ellipsoids-openmp 31 lambda-1024 1370 7630 6260 1615755234054 1615755238980 4926 104 4735 87 lambda-1024
ellipsoids-openmp 37 lambda-1024 1372 7634 6262 1615755234263 1615755238988 4725 104 4508 113 lambda-1024
ellipsoids-openmp 89 lambda-1024 1387 7658 6271 1615755235422 1615755239025 3603 89 3429 85 lambda-1024
ellipsoids-openmp 30 lambda-1024 1370 7673 6303 1615755234133 1615755239048 4915 107 4706 102 lambda-1024
ellipsoids-openmp 26 lambda-1024 1369 7708 6339 1615755233990 1615755239068 5078 100 4884 94 lambda-1024
ellipsoids-openmp 97 lambda-1024 1389 7734 6345 1615755235500 1615755239090 3590 90 3408 92 lambda-1024
ellipsoids-openmp 98 lambda-1024 1389 7740 6351 1615755235550 1615755239134 3584 91 3371 122 lambda-1024
ellipsoids-openmp 41 lambda-1024 1373 7925 6552 1615755234390 1615755239230 4840 97 4652 91 lambda-1024
ellipsoids-openmp 306 lambda-1024 1508 8030 6522 1615755235578 1615755239322 3744 96 3571 77 lambda-1024
ellipsoids-openmp 45 lambda-1024 1374 8033 6659 1615755234479 1615755239326 4847 95 4669 83 lambda-1024
ellipsoids-openmp 51 lambda-1024 1376 8037 6661 1615755234715 1615755239331 4616 87 4443 86 lambda-1024
