task id resource request_start request_end request_duration start end time downloaded executed uploaded type
generateData.js 1 lambda-128 0 6248 6248 1615848966150 1615848967543 1393 117 1140 136 lambda-128
createDat.js 2 lambda-128 6546 12814 6268 1615848973485 1615848975806 2321 741 1299 281 lambda-128
createDat.js 3 lambda-128 6552 12821 6269 1615848973497 1615848975877 2380 780 1301 299 lambda-128
createDat.js 4 lambda-128 6557 12842 6285 1615848972724 1615848974021 1297 83 1101 113 lambda-128
createDat.js 5 lambda-128 6561 12835 6274 1615848973437 1615848975477 2040 680 1120 240 lambda-128
ellipsoids-openmp 102 lambda-128 13181 58196 45015 1615848979263 1615849020517 41254 134 40880 240 lambda-128
ellipsoids-openmp 103 lambda-128 13182 59222 46040 1615848979267 1615849019697 40430 138 40061 231 lambda-128
ellipsoids-openmp 65 lambda-128 13267 85090 71823 1615848985748 1615849026005 40257 817 39160 280 lambda-128
ellipsoids-openmp 28 lambda-128 13216 85173 71957 1615848994105 1615849034505 40400 760 39339 301 lambda-128
ellipsoids-openmp 26 lambda-128 13213 85229 72016 1615849017109 1615849048209 31100 760 29999 341 lambda-128
ellipsoids-openmp 24 lambda-128 13211 85258 72047 1615849006874 1615849049054 42180 760 40940 480 lambda-128
ellipsoids-openmp 74 lambda-128 13277 85459 72182 1615849017482 1615849049322 31840 759 30741 340 lambda-128
ellipsoids-openmp 66 lambda-128 13268 85479 72211 1615848998171 1615849038546 40375 760 39340 275 lambda-128
ellipsoids-openmp 77 lambda-128 13280 85572 72292 1615849016688 1615849047707 31019 778 29961 280 lambda-128
ellipsoids-openmp 104 lambda-128 13183 68779 55596 1615848979278 1615849009424 30146 101 29839 206 lambda-128
ellipsoids-openmp 100 lambda-128 13177 68773 55596 1615848979279 1615849017906 38627 88 38341 198 lambda-128
ellipsoids-openmp 105 lambda-128 13185 76669 63484 1615848981733 1615849020193 38460 780 37419 261 lambda-128
ellipsoids-openmp 101 lambda-128 13179 76781 63602 1615848980412 1615849019572 39160 780 38099 281 lambda-128
ellipsoids-openmp 10 lambda-128 13175 79725 66550 1615849001661 1615849032034 30373 732 29340 301 lambda-128
ellipsoids-openmp 21 lambda-128 13205 79790 66585 1615849013670 1615849044171 30501 98 30140 263 lambda-128
ellipsoids-openmp 90 lambda-128 13290 79870 66580 1615849014229 1615849045054 30825 119 30481 225 lambda-128
ellipsoids-openmp 11 lambda-128 13186 79805 66619 1615848981323 1615849019534 38211 760 37180 271 lambda-128
ellipsoids-openmp 56 lambda-128 13259 80187 66928 1615848982271 1615849015572 33301 740 32221 340 lambda-128
ellipsoids-openmp 57 lambda-128 13261 80770 67509 1615848981434 1615849012402 30968 759 29940 269 lambda-128
ellipsoids-openmp 54 lambda-128 13246 81134 67888 1615848980169 1615849012332 32163 759 31121 283 lambda-128
ellipsoids-openmp 59 lambda-128 13263 80857 67594 1615849002417 1615849044796 42379 779 41300 300 lambda-128
ellipsoids-openmp 55 lambda-128 13247 81325 68078 1615848980888 1615849012353 31465 761 30440 264 lambda-128
ellipsoids-openmp 13 lambda-128 13188 81647 68459 1615849009211 1615849040607 31396 759 30341 296 lambda-128
ellipsoids-openmp 14 lambda-128 13190 81730 68540 1615849008108 1615849038588 30480 760 29419 301 lambda-128
ellipsoids-openmp 58 lambda-128 13262 82072 68810 1615848989785 1615849030064 40279 759 39221 299 lambda-128
ellipsoids-openmp 18 lambda-128 13199 82427 69228 1615848982577 1615849022789 40212 780 39141 291 lambda-128
ellipsoids-openmp 12 lambda-128 13187 82379 69192 1615848989054 1615849029232 40178 779 39062 337 lambda-128
ellipsoids-openmp 60 lambda-128 13264 83590 70326 1615849015739 1615849046351 30612 95 30298 219 lambda-128
ellipsoids-openmp 19 lambda-128 13201 83648 70447 1615848982581 1615849014725 32144 759 31100 285 lambda-128
ellipsoids-openmp 61 lambda-128 13265 84909 71644 1615848981661 1615849021222 39561 780 38591 190 lambda-128
ellipsoids-openmp 16 lambda-128 13195 84224 71029 1615848994811 1615849034633 39822 780 38780 262 lambda-128
ellipsoids-openmp 15 lambda-128 13193 84957 71764 1615849013417 1615849042864 29447 96 29160 191 lambda-128
ellipsoids-openmp 69 lambda-128 13270 85032 71762 1615849008175 1615849048696 40521 761 39420 340 lambda-128
ellipsoids-openmp 72 lambda-128 13276 85138 71862 1615849002688 1615849045270 42582 759 41522 301 lambda-128
ellipsoids-openmp 64 lambda-128 13267 85195 71928 1615849015945 1615849045736 29791 77 29499 215 lambda-128
ellipsoids-openmp 71 lambda-128 13272 85147 71875 1615848997706 1615849037965 40259 759 39220 280 lambda-128
ellipsoids-openmp 70 lambda-128 13271 85105 71834 1615849004643 1615849043620 38977 760 37921 296 lambda-128
ellipsoids-openmp 63 lambda-128 13266 85281 72015 1615848981531 1615849021812 40281 801 39230 250 lambda-128
ellipsoids-openmp 22 lambda-128 13206 85220 72014 1615848988324 1615849028864 40540 794 39406 340 lambda-128
ellipsoids-openmp 73 lambda-128 13276 85414 72138 1615849009530 1615849038182 28652 68 28340 244 lambda-128
ellipsoids-openmp 23 lambda-128 13208 85043 71835 1615849017030 1615849048206 31176 740 30140 296 lambda-128
ellipsoids-openmp 67 lambda-128 13269 85475 72206 1615848987324 1615849018924 31600 785 30540 275 lambda-128
ellipsoids-openmp 62 lambda-128 13265 85417 72152 1615848990776 1615849030716 39940 779 38841 320 lambda-128
ellipsoids-openmp 76 lambda-128 13279 85545 72266 1615849006334 1615849040633 34299 720 33300 279 lambda-128
ellipsoids-openmp 25 lambda-128 13212 85549 72337 1615848999811 1615849039991 40180 760 39160 260 lambda-128
ellipsoids-openmp 68 lambda-128 13269 85684 72415 1615849004169 1615849034649 30480 759 29480 241 lambda-128
ellipsoids-openmp 80 lambda-128 13283 85793 72510 1615849007678 1615849046778 39100 780 38059 261 lambda-128
ellipsoids-openmp 27 lambda-128 13214 85689 72475 1615849003003 1615849043623 40620 704 39576 340 lambda-128
ellipsoids-openmp 20 lambda-128 13203 85553 72350 1615849002266 1615849043305 41039 779 39940 320 lambda-128
ellipsoids-openmp 78 lambda-128 13281 85815 72534 1615849002209 1615849033830 31621 740 30560 321 lambda-128
ellipsoids-openmp 79 lambda-128 13281 95146 81865 1615849019201 1615849051521 32320 720 31280 320 lambda-128
ellipsoids-openmp 8 lambda-128 13282 95170 81888 1615849019109 1615849048460 29351 100 29020 231 lambda-128
