task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mProject 1 lambda-2048 0 29277 29277 1615239035062 1615239063525 28463 266 28028 169 lambda-2048
mProject 18 lambda-2048 62 35138 35076 1615239035231 1615239069477 34246 259 33749 238 lambda-2048
mProject 8 lambda-2048 43 36502 36459 1615239035317 1615239070712 35395 226 34978 191 lambda-2048
mProject 20 lambda-2048 66 36632 36566 1615239035227 1615239070969 35742 222 35333 187 lambda-2048
mProject 3 lambda-2048 32 37680 37648 1615239035070 1615239072017 36947 212 30999 5736 lambda-2048
mProject 6 lambda-2048 39 41850 41811 1615239035329 1615239076183 40854 244 40398 212 lambda-2048
mProject 19 lambda-2048 64 45308 45244 1615239035376 1615239079535 44159 221 43647 291 lambda-2048
mProject 22 lambda-2048 69 47948 47879 1615239035375 1615239082285 46910 286 46438 186 lambda-2048
mProject 15 lambda-2048 57 48176 48119 1615239035231 1615239082516 47285 230 46860 195 lambda-2048
mProject 27 lambda-2048 79 51179 51100 1615239035480 1615239085518 50038 232 49575 231 lambda-2048
mProject 23 lambda-2048 71 51863 51792 1615239035385 1615239086083 50698 230 50246 222 lambda-2048
mProject 10 lambda-2048 47 54628 54581 1615239035322 1615239088764 53442 239 53029 174 lambda-2048
mProject 4 lambda-2048 34 55141 55107 1615239035327 1615239089372 54045 247 53573 225 lambda-2048
mProject 25 lambda-2048 75 55753 55678 1615239035394 1615239089929 54535 234 54088 213 lambda-2048
mProject 24 lambda-2048 73 56369 56296 1615239035381 1615239090513 55132 234 54708 190 lambda-2048
mProject 21 lambda-2048 68 57393 57325 1615239035379 1615239091555 56176 236 55767 173 lambda-2048
mProject 42 lambda-2048 104 57802 57698 1615239035790 1615239091941 56151 214 55752 185 lambda-2048
mProject 39 lambda-2048 99 57920 57821 1615239035768 1615239092259 56491 245 54214 2032 lambda-2048
mProject 29 lambda-2048 82 58008 57926 1615239035510 1615239092340 56830 227 56405 198 lambda-2048
mProject 35 lambda-2048 92 58247 58155 1615239035662 1615239092578 56916 231 56420 265 lambda-2048
mProject 45 lambda-2048 115 58289 58174 1615239035834 1615239092627 56793 244 56353 196 lambda-2048
mProject 36 lambda-2048 94 59022 58928 1615239035662 1615239093363 57701 368 57159 174 lambda-2048
mProject 7 lambda-2048 41 59371 59330 1615239035318 1615239093712 58394 208 58011 175 lambda-2048
mProject 49 lambda-2048 129 59953 59824 1615239035885 1615239094168 58283 258 57811 214 lambda-2048
mProject 33 lambda-2048 89 60257 60168 1615239035591 1615239094597 59006 196 58614 196 lambda-2048
mProject 34 lambda-2048 91 60874 60783 1615239035605 1615239095065 59460 220 58979 261 lambda-2048
mProject 12 lambda-2048 51 61386 61335 1615239035573 1615239095563 59990 261 59531 198 lambda-2048
mProject 2 lambda-2048 29 61555 61526 1615239035268 1615239095894 60626 248 60105 273 lambda-2048
mProject 16 lambda-2048 59 61910 61851 1615239035730 1615239096250 60520 216 60109 195 lambda-2048
mProject 47 lambda-2048 119 62923 62804 1615239035857 1615239097094 61237 227 60820 190 lambda-2048
