task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mProject 8 lambda-2048 26 29385 29359 1615246051861 1615246080654 28793 163 28445 185 lambda-2048
mProject 15 lambda-2048 34 32773 32739 1615246051968 1615246084128 32160 178 31779 203 lambda-2048
mProject 12 lambda-2048 30 35761 35731 1615246051941 1615246087114 35173 175 34800 198 lambda-2048
mProject 6 lambda-2048 23 35879 35856 1615246051862 1615246087208 35346 177 34992 177 lambda-2048
mProject 10 lambda-2048 28 36896 36868 1615246051863 1615246088249 36386 191 36012 183 lambda-2048
mProject 7 lambda-2048 24 38236 38212 1615246051852 1615246089514 37662 190 37238 234 lambda-2048
mProject 18 lambda-2048 37 38884 38847 1615246052060 1615246090238 38178 424 37358 396 lambda-2048
mProject 4 lambda-2048 20 39300 39280 1615246051848 1615246090511 38663 192 38181 290 lambda-2048
mProject 9 lambda-2048 27 39860 39833 1615246051860 1615246091213 39353 159 39021 173 lambda-2048
mProject 16 lambda-2048 35 40142 40107 1615246051964 1615246091445 39481 165 38983 333 lambda-2048
mProject 20 lambda-2048 39 40321 40282 1615246052053 1615246091675 39622 241 39171 210 lambda-2048
mProject 1 lambda-2048 0 40492 40492 1615246051817 1615246091847 40030 208 39616 206 lambda-2048
mProject 23 lambda-2048 42 40591 40549 1615246052153 1615246091945 39792 900 38658 234 lambda-2048
mProject 3 lambda-2048 18 40749 40731 1615246051854 1615246092102 40248 182 39893 173 lambda-2048
mProject 13 lambda-2048 31 41069 41038 1615246051933 1615246092423 40490 143 40131 216 lambda-2048
mProject 5 lambda-2048 21 41134 41113 1615246051856 1615246092489 40633 154 40198 281 lambda-2048
mProject 19 lambda-2048 38 41233 41195 1615246052058 1615246092589 40531 1093 39249 189 lambda-2048
mProject 14 lambda-2048 33 41318 41285 1615246051965 1615246092674 40709 202 40274 233 lambda-2048
mProject 11 lambda-2048 29 41655 41626 1615246051935 1615246092847 40912 166 40529 217 lambda-2048
mProject 17 lambda-2048 36 41656 41620 1615246052057 1615246092981 40924 221 40490 213 lambda-2048
mProject 2 lambda-2048 17 41735 41718 1615246051812 1615246093089 41277 189 40868 220 lambda-2048
mProject 21 lambda-2048 40 43880 43840 1615246052063 1615246095235 43172 914 42086 172 lambda-2048
mProject 36 lambda-2048 57 45149 45092 1615246052406 1615246096504 44098 5123 38780 195 lambda-2048
mProject 47 lambda-2048 70 45208 45138 1615246052827 1615246096563 43736 4941 38483 312 lambda-2048
mProject 26 lambda-2048 46 45409 45363 1615246052185 1615246096764 44579 975 43410 194 lambda-2048
mProject 33 lambda-2048 54 45529 45475 1615246052362 1615246096881 44519 5178 39159 182 lambda-2048
mProject 39 lambda-2048 60 45537 45477 1615246052877 1615246096888 44011 2893 40903 215 lambda-2048
mProject 50 lambda-2048 74 45630 45556 1615246052852 1615246096986 44134 3616 40345 173 lambda-2048
mProject 42 lambda-2048 63 45682 45619 1615246052701 1615246097033 44332 4869 39275 188 lambda-2048
mProject 43 lambda-2048 64 45694 45630 1615246052717 1615246097050 44333 2896 41233 204 lambda-2048
mProject 27 lambda-2048 48 45779 45731 1615246052203 1615246097135 44932 3141 41608 183 lambda-2048
mProject 49 lambda-2048 72 46022 45950 1615246052859 1615246097377 44518 3684 40619 215 lambda-2048
mProject 34 lambda-2048 55 46042 45987 1615246052622 1615246097395 44773 3058 41563 152 lambda-2048
mProject 22 lambda-2048 41 46163 46122 1615246052074 1615246097518 45444 314 44932 198 lambda-2048
mProject 29 lambda-2048 50 46192 46142 1615246052257 1615246097547 45290 4228 40879 183 lambda-2048
mProject 41 lambda-2048 62 46343 46281 1615246052701 1615246097697 44996 3126 41579 291 lambda-2048
mProject 30 lambda-2048 51 46378 46327 1615246052281 1615246097734 45453 4219 41056 178 lambda-2048
mProject 48 lambda-2048 71 46386 46315 1615246052828 1615246097741 44913 3491 41223 199 lambda-2048
mProject 32 lambda-2048 53 46388 46335 1615246052300 1615246097742 45442 3929 41313 200 lambda-2048
mProject 35 lambda-2048 56 46396 46340 1615246052685 1615246097750 45065 4012 40880 173 lambda-2048
mProject 38 lambda-2048 59 46775 46716 1615246052552 1615246097950 45398 3768 41439 191 lambda-2048
mProject 28 lambda-2048 49 46776 46727 1615246052214 1615246097991 45777 4194 41397 186 lambda-2048
mProject 31 lambda-2048 52 46777 46725 1615246052305 1615246098096 45791 4188 41414 189 lambda-2048
mProject 25 lambda-2048 45 47389 47344 1615246052209 1615246098640 46431 4071 42180 180 lambda-2048
mProject 46 lambda-2048 69 47917 47848 1615246052764 1615246099273 46509 4965 41299 245 lambda-2048
mProject 40 lambda-2048 61 48721 48660 1615246052885 1615246099943 47058 4171 42707 180 lambda-2048
mProject 45 lambda-2048 68 48723 48655 1615246052766 1615246099946 47180 4395 42585 200 lambda-2048
mProject 24 lambda-2048 43 48724 48681 1615246052142 1615246099998 47856 4889 42734 233 lambda-2048
mProject 37 lambda-2048 58 48832 48774 1615246052548 1615246100188 47640 4579 42858 203 lambda-2048
mProject 44 lambda-2048 67 51690 51623 1615246052719 1615246102927 50208 3082 41054 6072 lambda-2048
mProject 626 lambda-2048 100 55906 55806 1615246084202 1615246107261 23059 7458 15407 194 lambda-2048
mProject 625 lambda-2048 99 56709 56610 1615246080813 1615246107957 27144 7001 19951 192 lambda-2048
mProject 627 lambda-2048 100 58238 58138 1615246087193 1615246109593 22400 6158 16031 211 lambda-2048
mProject 628 lambda-2048 100 59883 59783 1615246087309 1615246111071 23762 7568 16000 194 lambda-2048
mProject 629 lambda-2048 100 60478 60378 1615246088329 1615246111833 23504 6434 16837 233 lambda-2048
mProject 631 lambda-2048 101 69407 69306 1615246090315 1615246120619 30304 7000 23135 169 lambda-2048
mProject 633 lambda-2048 101 73605 73504 1615246091288 1615246124836 33548 6476 26895 177 lambda-2048
mProject 635 lambda-2048 101 74321 74220 1615246091749 1615246125560 33811 6153 27457 201 lambda-2048
mProject 636 lambda-2048 101 80295 80194 1615246091928 1615246131649 39721 6318 33220 183 lambda-2048
mProject 632 lambda-2048 101 81900 81799 1615246090750 1615246133072 42322 7107 35015 200 lambda-2048
mProject 634 lambda-2048 101 82100 81999 1615246091577 1615246133454 41877 7415 34262 200 lambda-2048
mProject 640 lambda-2048 102 82671 82569 1615246092570 1615246133875 41305 6894 34199 212 lambda-2048
mProject 638 lambda-2048 102 83256 83154 1615246092179 1615246134610 42431 7278 34996 157 lambda-2048
mProject 637 lambda-2048 102 83640 83538 1615246092026 1615246134818 42792 6580 36019 193 lambda-2048
mProject 639 lambda-2048 102 84050 83948 1615246092492 1615246135228 42736 7631 34928 177 lambda-2048
mProject 630 lambda-2048 100 84664 84564 1615246089680 1615246135868 46188 8653 37371 164 lambda-2048
mProject 642 lambda-2048 102 87097 86995 1615246092747 1615246138451 45704 6311 39189 204 lambda-2048
mProject 641 lambda-2048 102 87941 87839 1615246092665 1615246139126 46461 7043 39264 154 lambda-2048
mProject 647 lambda-2048 103 87943 87840 1615246096577 1615246139128 42551 4538 37809 204 lambda-2048
mProject 648 lambda-2048 103 88113 88010 1615246096637 1615246139467 42830 4627 37998 205 lambda-2048
mProject 646 lambda-2048 103 88135 88032 1615246095310 1615246139490 44180 6390 37589 201 lambda-2048
mProject 655 lambda-2048 104 88453 88349 1615246097216 1615246139683 42467 5691 36589 187 lambda-2048
mProject 1168 lambda-2048 107 88483 88376 1615246099341 1615246139837 40496 6232 34101 163 lambda-2048
mProject 650 lambda-2048 104 88862 88758 1615246096959 1615246140068 43109 5849 37057 203 lambda-2048
mProject 656 lambda-2048 105 88922 88817 1615246097454 1615246140278 42824 5501 37083 240 lambda-2048
mProject 1163 lambda-2048 106 89274 89168 1615246097830 1615246140485 42655 5167 37299 189 lambda-2048
mProject 653 lambda-2048 104 90399 90295 1615246097112 1615246141558 44446 5089 39201 156 lambda-2048
mProject 1173 lambda-2048 108 90402 90294 1615246103123 1615246141609 38486 1393 36892 201 lambda-2048
mProject 644 lambda-2048 103 90808 90705 1615246093085 1615246141972 48887 6168 42518 201 lambda-2048
mProject 651 lambda-2048 104 90868 90764 1615246096963 1615246142220 45257 5477 39587 193 lambda-2048
mProject 643 lambda-2048 102 91423 91321 1615246093093 1615246142614 49521 6246 43071 204 lambda-2048
mProject 645 lambda-2048 103 91425 91322 1615246093167 1615246142691 49524 6131 43175 218 lambda-2048
mProject 1169 lambda-2048 107 92651 92544 1615246100151 1615246143813 43662 3707 39746 209 lambda-2048
mProject 1170 lambda-2048 107 92652 92545 1615246100159 1615246143978 43819 3709 39819 291 lambda-2048
mProject 1171 lambda-2048 107 93062 92955 1615246100153 1615246144251 44098 3726 40199 173 lambda-2048
mProject 1172 lambda-2048 108 93064 92956 1615246100263 1615246144358 44095 3720 40216 159 lambda-2048
mProject 654 lambda-2048 104 93282 93178 1615246097128 1615246144634 47506 5859 41460 187 lambda-2048
mProject 1167 lambda-2048 107 93993 93886 1615246098828 1615246145305 46477 4596 41697 184 lambda-2048
mProject 659 lambda-2048 105 94307 94202 1615246097628 1615246145661 48033 5370 42474 189 lambda-2048
mProject 649 lambda-2048 103 94465 94362 1615246096839 1615246145819 48980 7425 41377 178 lambda-2048
mProject 652 lambda-2048 104 94925 94821 1615246097060 1615246146257 49197 6977 42046 174 lambda-2048
mProject 1165 lambda-2048 106 96311 96205 1615246098214 1615246147667 49453 7081 42138 234 lambda-2048
mProject 1161 lambda-2048 106 96357 96251 1615246097818 1615246147712 49894 7661 42055 178 lambda-2048
mProject 1192 lambda-2048 111 96646 96535 1615246107334 1615246147943 40609 510 39714 385 lambda-2048
mProject 1160 lambda-2048 105 96734 96629 1615246097804 1615246148089 50285 7465 42627 193 lambda-2048
mProject 1194 lambda-2048 111 97568 97457 1615246109667 1615246148762 39095 560 38363 172 lambda-2048
mProject 1164 lambda-2048 106 97606 97500 1615246098213 1615246148962 50749 5008 41743 3998 lambda-2048
mProject 657 lambda-2048 105 98016 97911 1615246097476 1615246149371 51895 7134 44614 147 lambda-2048
mProject 1159 lambda-2048 105 98054 97949 1615246097766 1615246149409 51643 6984 44450 209 lambda-2048
mProject 1162 lambda-2048 106 98092 97986 1615246097818 1615246149446 51628 6942 44518 168 lambda-2048
mProject 658 lambda-2048 105 98226 98121 1615246097595 1615246149581 51986 7077 44747 162 lambda-2048
mProject 1166 lambda-2048 106 98329 98223 1615246098208 1615246149682 51474 6423 44811 240 lambda-2048
mProject 1196 lambda-2048 111 101150 101039 1615246111913 1615246152359 40446 8707 31498 241 lambda-2048
mProject 1193 lambda-2048 111 101151 101040 1615246108150 1615246152451 44301 879 43056 366 lambda-2048
mProject 1195 lambda-2048 111 102072 101961 1615246111321 1615246153226 41905 5570 36122 213 lambda-2048
mProject 1197 lambda-2048 112 112742 112630 1615246120845 1615246164097 43252 6916 36117 219 lambda-2048
mDiffFit 228 lambda-2048 51697 128863 77166 1615246125753 1615246180092 54339 53942 215 182 lambda-2048
mProject 1199 lambda-2048 112 129414 129302 1615246133534 1615246180608 47074 8602 38242 230 lambda-2048
mProject 1200 lambda-2048 112 130437 130325 1615246134104 1615246181591 47487 6715 40509 263 lambda-2048
mProject 52 lambda-2048 75 130847 130772 1615246135070 1615246182056 46986 7473 39274 239 lambda-2048
mDiffFit 104 lambda-2048 51696 132118 80422 1615246125037 1615246183472 58435 54450 3856 129 lambda-2048
mProject 51 lambda-2048 75 132895 132820 1615246134682 1615246183984 49302 7160 41950 192 lambda-2048
mProject 53 lambda-2048 76 132896 132820 1615246135483 1615246184028 48545 6720 41651 174 lambda-2048
mProject 1201 lambda-2048 113 133612 133499 1615246139878 1615246184790 44912 6632 38051 229 lambda-2048
mProject 56 lambda-2048 76 133614 133538 1615246139540 1615246184812 45272 6874 38107 291 lambda-2048
mProject 1204 lambda-2048 113 135045 134932 1615246144081 1615246186222 42141 4291 37568 282 lambda-2048
mProject 1198 lambda-2048 112 135047 134935 1615246133338 1615246186339 53001 5994 36040 10967 lambda-2048
mProject 54 lambda-2048 76 135230 135154 1615246139364 1615246186583 47219 6894 40138 187 lambda-2048
mProject 64 lambda-2048 78 135660 135582 1615246142301 1615246186829 44528 5290 39043 195 lambda-2048
mProject 57 lambda-2048 76 135702 135626 1615246139568 1615246187056 47488 6892 40359 237 lambda-2048
mProject 1203 lambda-2048 113 135731 135618 1615246142859 1615246187085 44226 5199 38843 184 lambda-2048
mProject 63 lambda-2048 77 136377 136300 1615246141833 1615246187555 45722 5894 39603 225 lambda-2048
mProject 1205 lambda-2048 113 136379 136266 1615246144493 1615246187644 43151 4587 38403 161 lambda-2048
mProject 1202 lambda-2048 113 136991 136878 1615246142231 1615246188187 45956 5958 39778 220 lambda-2048
mProject 55 lambda-2048 76 136995 136919 1615246139371 1615246188246 48875 8017 40699 159 lambda-2048
mProject 58 lambda-2048 77 136996 136919 1615246139912 1615246188345 48433 6540 41655 238 lambda-2048
mProject 61 lambda-2048 77 137202 137125 1615246140710 1615246188555 47845 6201 41463 181 lambda-2048
mProject 60 lambda-2048 77 137205 137128 1615246140352 1615246188559 48207 6561 41405 241 lambda-2048
mProject 65 lambda-2048 78 137217 137139 1615246142857 1615246188566 45709 5756 39668 285 lambda-2048
mProject 59 lambda-2048 77 137430 137353 1615246140316 1615246188784 48468 6556 41677 235 lambda-2048
mProject 62 lambda-2048 77 137913 137836 1615246141829 1615246189156 47327 5427 41689 211 lambda-2048
mProject 66 lambda-2048 78 138938 138860 1615246145763 1615246190128 44365 4760 39442 163 lambda-2048
mProject 67 lambda-2048 78 140575 140497 1615246146352 1615246191763 45411 4201 40915 295 lambda-2048
mProject 68 lambda-2048 78 142792 142714 1615246148998 1615246194146 45148 5393 39506 249 lambda-2048
mProject 69 lambda-2048 78 142936 142858 1615246149035 1615246194291 45256 4349 40741 166 lambda-2048
mDiffFit 146 lambda-2048 38897 143444 104547 1615246138524 1615246194795 56271 56145 76 50 lambda-2048
mProject 588 lambda-2048 86 145698 145612 1615246152585 1615246196752 44167 4876 39136 155 lambda-2048
mDiffFit 180 lambda-2048 38896 146823 107927 1615246136095 1615246198035 61940 59298 2590 52 lambda-2048
mProject 72 lambda-2048 79 146831 146752 1615246149517 1615246198183 48666 5669 42749 248 lambda-2048
mProject 70 lambda-2048 79 147231 147152 1615246149446 1615246198451 49005 5561 43212 232 lambda-2048
mProject 71 lambda-2048 79 147235 147156 1615246149480 1615246198575 49095 5705 43096 294 lambda-2048
mProject 587 lambda-2048 86 147337 147251 1615246149763 1615246198692 48929 5699 42967 263 lambda-2048
mProject 585 lambda-2048 86 147846 147760 1615246149652 1615246199082 49430 6163 43081 186 lambda-2048
mDiffFit 179 lambda-2048 40157 150509 110352 1615246144494 1615246201566 57072 54463 2500 109 lambda-2048
mDiffFit 144 lambda-2048 39864 150568 110704 1615246144080 1615246201920 57840 54868 2916 56 lambda-2048
mDiffFit 145 lambda-2048 40158 152083 111925 1615246144716 1615246203438 58722 55654 3010 58 lambda-2048
mDiffFit 181 lambda-2048 40597 152762 112165 1615246147782 1615246203973 56191 55932 193 66 lambda-2048
mDiffFit 225 lambda-2048 40325 152875 112550 1615246145899 1615246204230 58331 51624 6660 47 lambda-2048
mDiffFit 194 lambda-2048 40597 153682 113085 1615246148165 1615246204837 56672 56562 64 46 lambda-2048
