task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mProject 8 lambda-2048 4 13448 13444 1615279279256 1615279292077 12821 192 12397 232 lambda-2048
mProject 2 lambda-2048 1 13522 13521 1615279279101 1615279292158 13057 156 12619 282 lambda-2048
mProject 10 lambda-2048 5 13552 13547 1615279279250 1615279292186 12936 146 12587 203 lambda-2048
mProject 9 lambda-2048 5 13869 13864 1615279279264 1615279292499 13235 182 12764 289 lambda-2048
mProject 7 lambda-2048 4 14157 14153 1615279279265 1615279292795 13530 197 13012 321 lambda-2048
mProject 12 lambda-2048 6 14464 14458 1615279280181 1615279293098 12917 223 12503 191 lambda-2048
mProject 11 lambda-2048 5 14582 14577 1615279280205 1615279293178 12973 211 12565 197 lambda-2048
mProject 14 lambda-2048 7 14670 14663 1615279280222 1615279293306 13084 341 12505 238 lambda-2048
mProject 24 lambda-2048 10 14730 14720 1615279280454 1615279293366 12912 215 12508 189 lambda-2048
mProject 22 lambda-2048 9 14830 14821 1615279280478 1615279293467 12989 239 12522 228 lambda-2048
mProject 20 lambda-2048 9 14835 14826 1615279280451 1615279293470 13019 196 12617 206 lambda-2048
mProject 23 lambda-2048 10 14949 14939 1615279280546 1615279293586 13040 193 12604 243 lambda-2048
mProject 5 lambda-2048 3 14982 14979 1615279280348 1615279293618 13270 258 12804 208 lambda-2048
mProject 13 lambda-2048 6 15012 15006 1615279280327 1615279293649 13322 262 12832 228 lambda-2048
mProject 17 lambda-2048 8 15035 15027 1615279280376 1615279293672 13296 248 12831 217 lambda-2048
mProject 30 lambda-2048 12 15037 15025 1615279280609 1615279293675 13066 189 12694 183 lambda-2048
mProject 36 lambda-2048 14 15055 15041 1615279280749 1615279293691 12942 206 12515 221 lambda-2048
mProject 18 lambda-2048 8 15061 15053 1615279280347 1615279293699 13352 208 12754 390 lambda-2048
mProject 6 lambda-2048 3 15075 15072 1615279280385 1615279293712 13327 242 12771 314 lambda-2048
mProject 28 lambda-2048 11 15089 15078 1615279280723 1615279293719 12996 185 12592 219 lambda-2048
mProject 27 lambda-2048 11 15133 15122 1615279280616 1615279293765 13149 248 12559 342 lambda-2048
mProject 3 lambda-2048 2 15145 15143 1615279280462 1615279293766 13304 248 12824 232 lambda-2048
mProject 29 lambda-2048 12 15147 15135 1615279280638 1615279293775 13137 217 12708 212 lambda-2048
mProject 34 lambda-2048 13 15175 15162 1615279280669 1615279293802 13133 212 12683 238 lambda-2048
mProject 37 lambda-2048 14 15229 15215 1615279280795 1615279293867 13072 204 12653 215 lambda-2048
mProject 31 lambda-2048 12 15240 15228 1615279280641 1615279293873 13232 240 12759 233 lambda-2048
mProject 38 lambda-2048 14 15270 15256 1615279280778 1615279293890 13112 226 12662 224 lambda-2048
mProject 1 lambda-2048 0 15304 15304 1615279280528 1615279293937 13409 259 12847 303 lambda-2048
mProject 21 lambda-2048 9 15309 15300 1615279280511 1615279293942 13431 241 13004 186 lambda-2048
mProject 35 lambda-2048 14 15311 15297 1615279280776 1615279293944 13168 239 12684 245 lambda-2048
mProject 19 lambda-2048 8 15314 15306 1615279280758 1615279293935 13177 216 12695 266 lambda-2048
mProject 42 lambda-2048 16 15322 15306 1615279280836 1615279293951 13115 200 12718 197 lambda-2048
mProject 26 lambda-2048 11 15364 15353 1615279280641 1615279293996 13355 216 12920 219 lambda-2048
mProject 4 lambda-2048 2 15375 15373 1615279280487 1615279293999 13512 242 13070 200 lambda-2048
mProject 15 lambda-2048 7 15376 15369 1615279280851 1615279294001 13150 346 12597 207 lambda-2048
mProject 44 lambda-2048 20 15377 15357 1615279280900 1615279294010 13110 203 12673 234 lambda-2048
mProject 46 lambda-2048 20 15398 15378 1615279280940 1615279294024 13084 209 12685 190 lambda-2048
mProject 33 lambda-2048 13 15399 15386 1615279280723 1615279294024 13301 211 12820 270 lambda-2048
mProject 16 lambda-2048 7 15429 15422 1615279280537 1615279294062 13525 290 12926 309 lambda-2048
mProject 47 lambda-2048 21 15445 15424 1615279281054 1615279294071 13017 216 12576 225 lambda-2048
mProject 32 lambda-2048 13 15476 15463 1615279280725 1615279294112 13387 209 12950 228 lambda-2048
mProject 41 lambda-2048 16 15502 15486 1615279280847 1615279294139 13292 222 12809 261 lambda-2048
