task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mProject 1 lambda-2048 0 14190 14190 1615250636724 1615250649559 12835 230 12313 292 lambda-2048
mProject 6 lambda-2048 2 14341 14339 1615250636778 1615250649816 13038 231 12571 236 lambda-2048
mProject 8 lambda-2048 3 14387 14384 1615250636871 1615250649862 12991 232 12524 235 lambda-2048
mProject 12 lambda-2048 4 14513 14509 1615250636976 1615250649989 13013 223 12528 262 lambda-2048
mProject 3 lambda-2048 1 14532 14531 1615250636846 1615250650009 13163 230 12729 204 lambda-2048
mProject 5 lambda-2048 2 14558 14556 1615250636823 1615250650034 13211 253 12747 211 lambda-2048
mProject 19 lambda-2048 5 14623 14618 1615250637104 1615250650100 12996 222 12587 187 lambda-2048
mProject 18 lambda-2048 5 14636 14631 1615250636979 1615250650111 13132 220 12720 192 lambda-2048
mProject 15 lambda-2048 4 14666 14662 1615250636909 1615250650142 13233 297 12703 233 lambda-2048
mProject 11 lambda-2048 4 14704 14700 1615250636908 1615250650177 13269 206 12828 235 lambda-2048
mProject 28 lambda-2048 7 14732 14725 1615250637427 1615250650209 12782 200 12360 222 lambda-2048
mProject 2 lambda-2048 1 14742 14741 1615250636786 1615250650217 13431 212 12983 236 lambda-2048
mProject 20 lambda-2048 5 14808 14803 1615250637014 1615250650282 13268 288 12778 202 lambda-2048
mProject 13 lambda-2048 4 14817 14813 1615250637040 1615250650294 13254 227 12736 291 lambda-2048
mProject 7 lambda-2048 2 14820 14818 1615250636922 1615250650296 13374 242 12870 262 lambda-2048
mProject 4 lambda-2048 2 14828 14826 1615250636857 1615250650303 13446 219 13008 219 lambda-2048
mProject 9 lambda-2048 3 14835 14832 1615250636922 1615250650308 13386 222 12936 228 lambda-2048
mProject 16 lambda-2048 5 14843 14838 1615250637018 1615250650318 13300 213 12776 311 lambda-2048
mProject 22 lambda-2048 6 14881 14875 1615250637375 1615250650353 12978 191 12510 277 lambda-2048
mProject 14 lambda-2048 4 14906 14902 1615250637016 1615250650361 13345 233 12753 359 lambda-2048
mProject 17 lambda-2048 5 14915 14910 1615250637057 1615250650388 13331 274 12824 233 lambda-2048
mProject 21 lambda-2048 6 14926 14920 1615250637390 1615250650402 13012 217 12547 248 lambda-2048
mProject 24 lambda-2048 6 14977 14971 1615250637411 1615250650453 13042 242 12512 288 lambda-2048
mProject 23 lambda-2048 6 15012 15006 1615250637390 1615250650486 13096 195 12673 228 lambda-2048
mProject 27 lambda-2048 7 15047 15040 1615250637422 1615250650523 13101 250 12571 280 lambda-2048
mProject 37 lambda-2048 9 15071 15062 1615250637614 1615250650547 12933 219 12506 208 lambda-2048
mProject 35 lambda-2048 8 15085 15077 1615250637575 1615250650561 12986 195 12551 240 lambda-2048
mProject 38 lambda-2048 9 15087 15078 1615250637612 1615250650560 12948 199 12505 244 lambda-2048
mProject 26 lambda-2048 7 15147 15140 1615250637429 1615250650622 13193 223 12751 219 lambda-2048
mProject 39 lambda-2048 9 15193 15184 1615250637684 1615250650667 12983 216 12521 246 lambda-2048
mProject 31 lambda-2048 8 15195 15187 1615250637536 1615250650671 13135 209 12727 199 lambda-2048
mProject 29 lambda-2048 7 15210 15203 1615250637438 1615250650681 13243 212 12803 228 lambda-2048
mProject 30 lambda-2048 7 15281 15274 1615250637472 1615250650757 13285 225 12851 209 lambda-2048
mProject 32 lambda-2048 8 15356 15348 1615250637526 1615250650832 13306 235 12811 260 lambda-2048
mProject 47 lambda-2048 14 15376 15362 1615250637768 1615250650852 13084 215 12674 195 lambda-2048
mProject 44 lambda-2048 13 15391 15378 1615250637745 1615250650866 13121 227 12622 272 lambda-2048
mProject 41 lambda-2048 10 15393 15383 1615250637676 1615250650867 13191 204 12776 211 lambda-2048
mProject 48 lambda-2048 14 15407 15393 1615250637777 1615250650882 13105 197 12685 223 lambda-2048
mProject 25 lambda-2048 6 15417 15411 1615250637433 1615250650888 13455 194 12955 306 lambda-2048
mProject 33 lambda-2048 8 15427 15419 1615250637615 1615250650903 13288 223 12821 244 lambda-2048
mProject 36 lambda-2048 9 15458 15449 1615250637743 1615250650934 13191 229 12791 171 lambda-2048
mProject 10 lambda-2048 3 15523 15520 1615250637099 1615250650998 13899 237 13329 333 lambda-2048
mProject 43 lambda-2048 11 15529 15518 1615250637753 1615250651005 13252 237 12772 243 lambda-2048
mProject 46 lambda-2048 14 15537 15523 1615250637832 1615250651012 13180 214 12665 301 lambda-2048
mProject 42 lambda-2048 10 15585 15575 1615250637703 1615250651061 13358 199 12841 318 lambda-2048
mProject 45 lambda-2048 13 15641 15628 1615250637765 1615250651118 13353 230 12854 269 lambda-2048
mProject 34 lambda-2048 8 15723 15715 1615250637564 1615250651200 13636 307 13047 282 lambda-2048
mProject 40 lambda-2048 9 16337 16328 1615250637957 1615250651653 13696 242 13229 225 lambda-2048
mProject 49 lambda-2048 14 16338 16324 1615250637795 1615250651710 13915 229 13162 524 lambda-2048
mProject 56 lambda-2048 16 50035 50019 1615250660821 1615250685360 24539 155 24212 172 lambda-2048
mProject 63 lambda-2048 17 51745 51728 1615250660893 1615250687097 26204 179 25857 168 lambda-2048
mProject 62 lambda-2048 17 51765 51748 1615250660890 1615250687238 26348 158 25981 209 lambda-2048
mProject 73 lambda-2048 20 56275 56255 1615250661097 1615250691667 30570 158 30204 208 lambda-2048
mProject 51 lambda-2048 15 57503 57488 1615250660755 1615250692852 32097 221 31667 209 lambda-2048
mProject 65 lambda-2048 18 58017 57999 1615250660928 1615250693297 32369 160 31986 223 lambda-2048
mProject 53 lambda-2048 15 58101 58086 1615250660773 1615250693576 32803 186 32433 184 lambda-2048
mProject 61 lambda-2048 17 61028 61011 1615250660858 1615250696504 35646 177 35273 196 lambda-2048
mProject 54 lambda-2048 15 61497 61482 1615250660780 1615250696775 35995 166 35574 255 lambda-2048
