task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mProject 8 lambda-1024 26 25078 25052 1616021067722 1616021089011 21289 0 21289 0 lambda-1024
mProject 14 lambda-1024 34 25706 25672 1616021067693 1616021089020 21327 0 21327 0 lambda-1024
mProject 609 lambda-1024 151 25765 25614 1616021067900 1616021089181 21281 0 21281 0 lambda-1024
mProject 3 lambda-1024 20 30193 30173 1616021067660 1616021093128 25468 0 25468 0 lambda-1024
mProject 70 lambda-1024 120 37075 36955 1616021067736 1616021103092 35356 0 35355 0 lambda-1024
mProject 59 lambda-1024 114 38661 38547 1616021067794 1616021103042 35248 0 35248 0 lambda-1024
mProject 616 lambda-1024 155 42795 42640 1616021067896 1616021103890 35994 0 35993 0 lambda-1024
mProject 77 lambda-1024 126 50415 50289 1616021067763 1616021115663 47900 0 47900 0 lambda-1024
mProject 644 lambda-1024 175 52140 51965 1616021067980 1616021113865 45885 0 45885 0 lambda-1024
mProject 19 lambda-1024 40 53362 53322 1616021067774 1616021117020 49246 0 49246 0 lambda-1024
mProject 6 lambda-1024 24 55279 55255 1616021067855 1616021119610 51755 0 51755 0 lambda-1024
mProject 63 lambda-1024 116 56653 56537 1616021067814 1616021116788 48974 0 48974 0 lambda-1024
mProject 7 lambda-1024 25 57184 57159 1616021067726 1616021120083 52357 0 52356 0 lambda-1024
mProject 1208 lambda-1024 233 59941 59708 1616021068161 1616021121568 53407 0 53407 0 lambda-1024
mProject 1206 lambda-1024 232 86936 86704 1616021068700 1616021137860 69160 0 69160 0 lambda-1024
mProject 1197 lambda-1024 221 87067 86846 1616021068104 1616021149597 81493 0 81493 0 lambda-1024
mProject 12 lambda-1024 32 87247 87215 1616021067670 1616021140535 72865 0 72864 0 lambda-1024
mDiffFit 140 lambda-1024 56656 87618 30962 1616021123388 1616021150430 27042 0 27041 0 lambda-1024
mProject 13 lambda-1024 33 87757 87724 1616021067672 1616021147176 79504 0 79504 0 lambda-1024
mProject 1181 lambda-1024 199 87808 87609 1616021068142 1616021136344 68202 0 68202 0 lambda-1024
mProject 1189 lambda-1024 205 88070 87865 1616021068118 1616021141551 73433 0 73433 0 lambda-1024
mProject 35 lambda-1024 58 88268 88210 1616021068125 1616021147831 79706 0 79705 0 lambda-1024
mProject 22 lambda-1024 43 88554 88511 1616021067774 1616021147051 79277 0 79276 0 lambda-1024
mProject 1159 lambda-1024 186 88875 88689 1616021068025 1616021146356 78331 0 78330 0 lambda-1024
mProject 1193 lambda-1024 212 88880 88668 1616021068112 1616021136989 68877 0 68877 0 lambda-1024
mProject 62 lambda-1024 115 89438 89323 1616021067816 1616021129963 62147 0 62147 0 lambda-1024
mProject 1220 lambda-1024 241 94525 94284 1616021068207 1616021156527 88320 0 88320 0 lambda-1024
mProject 1172 lambda-1024 193 94589 94396 1616021068202 1616021160088 91886 0 91885 0 lambda-1024
mProject 1173 lambda-1024 194 94850 94656 1616021068115 1616021160071 91956 0 91956 0 lambda-1024
