task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mProject 626 lambda-2048 204 72892 72688 1615880112611 1615880130542 17931 212 16852 867 lambda-2048
mProject 628 lambda-2048 207 73038 72831 1615880110126 1615880123339 13213 229 12767 217 lambda-2048
mProject 633 lambda-2048 212 73074 72862 1615880114242 1615880131979 17737 156 17411 170 lambda-2048
mProject 2 lambda-2048 21 77980 77959 1615880065708 1615880079144 13436 229 12928 279 lambda-2048
mProject 589 lambda-2048 167 78044 77877 1615880092062 1615880105083 13021 204 12631 186 lambda-2048
mProject 590 lambda-2048 168 78107 77939 1615880112507 1615880129050 16543 243 16074 226 lambda-2048
mProject 4 lambda-2048 25 78064 78039 1615880084262 1615880097444 13182 194 12784 204 lambda-2048
mProject 597 lambda-2048 175 78132 77957 1615880104994 1615880118087 13093 201 12694 198 lambda-2048
mProject 598 lambda-2048 176 78173 77997 1615880107258 1615880120552 13294 176 12867 251 lambda-2048
mProject 596 lambda-2048 174 78200 78026 1615880103332 1615880116459 13127 183 12684 260 lambda-2048
mProject 7 lambda-2048 30 78213 78183 1615880065433 1615880078939 13506 232 13069 205 lambda-2048
mProject 600 lambda-2048 179 78227 78048 1615880107382 1615880120529 13147 196 12755 196 lambda-2048
mProject 602 lambda-2048 180 78238 78058 1615880107335 1615880120624 13289 163 12855 271 lambda-2048
mProject 603 lambda-2048 181 78269 78088 1615880111394 1615880128184 16790 248 16338 204 lambda-2048
mProject 57 lambda-2048 129 78315 78186 1615880083775 1615880096985 13210 197 12764 249 lambda-2048
mProject 15 lambda-2048 42 78331 78289 1615880110708 1615880124141 13433 176 13057 200 lambda-2048
mProject 18 lambda-2048 48 78318 78270 1615880105598 1615880118807 13209 214 12813 182 lambda-2048
mProject 55 lambda-2048 118 78326 78208 1615880088695 1615880101995 13300 162 12901 237 lambda-2048
mProject 607 lambda-2048 185 78339 78154 1615880108562 1615880121583 13021 236 12564 221 lambda-2048
mProject 16 lambda-2048 45 78341 78296 1615880110290 1615880123624 13334 226 12849 259 lambda-2048
mProject 606 lambda-2048 184 78349 78165 1615880108104 1615880121290 13186 194 12773 219 lambda-2048
mProject 10 lambda-2048 35 78336 78301 1615880071415 1615880084655 13240 221 12768 251 lambda-2048
mProject 599 lambda-2048 178 78351 78173 1615880109073 1615880122247 13174 173 12821 180 lambda-2048
mProject 608 lambda-2048 185 78384 78199 1615880112495 1615880128682 16187 217 15791 179 lambda-2048
mProject 609 lambda-2048 186 78386 78200 1615880097735 1615880110627 12892 130 12574 188 lambda-2048
mProject 64 lambda-2048 137 78393 78256 1615880068130 1615880081557 13427 271 12936 220 lambda-2048
mProject 17 lambda-2048 47 78397 78350 1615880110142 1615880123395 13253 225 12813 215 lambda-2048
mProject 610 lambda-2048 187 78395 78208 1615880108322 1615880121565 13243 184 12873 186 lambda-2048
mProject 613 lambda-2048 191 78411 78220 1615880108179 1615880121314 13135 205 12720 210 lambda-2048
mProject 61 lambda-2048 134 78414 78280 1615880090775 1615880103793 13018 191 12578 249 lambda-2048
mProject 614 lambda-2048 192 78426 78234 1615880112558 1615880130001 17443 225 17033 185 lambda-2048
mProject 595 lambda-2048 173 78428 78255 1615880121964 1615880138283 16319 214 15912 193 lambda-2048
mProject 616 lambda-2048 194 78436 78242 1615880110122 1615880122930 12808 171 12444 193 lambda-2048
mProject 62 lambda-2048 135 78438 78303 1615880095641 1615880108764 13123 199 12716 208 lambda-2048
mProject 615 lambda-2048 193 78452 78259 1615880113722 1615880132658 18936 237 17710 989 lambda-2048
mProject 621 lambda-2048 199 78457 78258 1615880111778 1615880128097 16319 220 15868 231 lambda-2048
mProject 619 lambda-2048 197 78463 78266 1615880112296 1615880129188 16892 227 16456 209 lambda-2048
mProject 620 lambda-2048 198 78460 78262 1615880112548 1615880129541 16993 223 16551 219 lambda-2048
mProject 618 lambda-2048 197 78472 78275 1615880110928 1615880125890 14962 153 14146 663 lambda-2048
mProject 622 lambda-2048 200 78478 78278 1615880113439 1615880131012 17573 214 17175 184 lambda-2048
mProject 624 lambda-2048 202 78479 78277 1615880116287 1615880133198 16911 160 16550 201 lambda-2048
mProject 60 lambda-2048 132 78490 78358 1615880095524 1615880109912 14388 315 13711 362 lambda-2048
mProject 625 lambda-2048 203 78502 78299 1615880117966 1615880134934 16968 169 16605 194 lambda-2048
mProject 1170 lambda-2048 255 78515 78260 1615880121480 1615880137232 15752 148 15432 172 lambda-2048
mProject 11 lambda-2048 37 78524 78487 1615880090490 1615880103204 12714 209 12219 286 lambda-2048
mProject 627 lambda-2048 206 78527 78321 1615880115437 1615880133515 18078 195 17691 192 lambda-2048
mProject 629 lambda-2048 208 78536 78328 1615880119237 1615880135970 16733 271 16278 184 lambda-2048
mProject 631 lambda-2048 210 78541 78331 1615880119111 1615880136056 16945 158 16557 230 lambda-2048
mProject 9 lambda-2048 34 78549 78515 1615880076863 1615880090221 13358 238 12921 199 lambda-2048
mProject 634 lambda-2048 213 78606 78393 1615880116287 1615880133596 17309 218 16830 261 lambda-2048
mProject 19 lambda-2048 49 78595 78546 1615880115515 1615880133267 17752 275 17237 240 lambda-2048
mProject 636 lambda-2048 215 78613 78398 1615880121776 1615880137801 16025 200 15605 220 lambda-2048
mProject 65 lambda-2048 137 78607 78470 1615880079060 1615880092384 13324 247 12860 217 lambda-2048
mProject 13 lambda-2048 40 78614 78574 1615880081326 1615880094451 13125 171 12683 271 lambda-2048
mProject 68 lambda-2048 142 78663 78521 1615880082987 1615880096158 13171 239 12747 185 lambda-2048
mProject 14 lambda-2048 41 78664 78623 1615880091902 1615880105233 13331 258 12849 224 lambda-2048
mProject 67 lambda-2048 140 78714 78574 1615880095211 1615880108474 13263 218 12754 291 lambda-2048
mProject 69 lambda-2048 144 78748 78604 1615880076672 1615880089810 13138 237 12659 242 lambda-2048
mProject 640 lambda-2048 218 78747 78529 1615880122526 1615880138440 15914 182 15515 217 lambda-2048
mProject 641 lambda-2048 219 78777 78558 1615880117126 1615880134514 17388 172 17033 183 lambda-2048
mProject 70 lambda-2048 145 78785 78640 1615880091919 1615880105101 13182 205 12756 221 lambda-2048
mProject 22 lambda-2048 56 78786 78730 1615880117552 1615880134694 17142 165 16782 195 lambda-2048
mProject 21 lambda-2048 54 78804 78750 1615880117392 1615880134830 17438 183 17069 186 lambda-2048
mProject 72 lambda-2048 147 78806 78659 1615880093219 1615880106473 13254 222 12818 214 lambda-2048
mProject 71 lambda-2048 146 78810 78664 1615880096222 1615880110029 13807 169 13471 167 lambda-2048
mProject 646 lambda-2048 226 78894 78668 1615880118351 1615880135475 17124 141 16744 239 lambda-2048
mProject 73 lambda-2048 148 78886 78738 1615880103338 1615880116189 12851 165 12492 194 lambda-2048
mProject 63 lambda-2048 135 78947 78812 1615880085615 1615880098668 13053 168 12651 234 lambda-2048
mProject 75 lambda-2048 151 78958 78807 1615880077510 1615880090578 13068 265 12601 202 lambda-2048
mProject 632 lambda-2048 211 73066 72855 1615880111076 1615880125992 14916 200 14493 223 lambda-2048
mProject 6 lambda-2048 28 78159 78131 1615880065963 1615880078881 12918 294 12434 190 lambda-2048
mProject 605 lambda-2048 183 79765 79582 1615880092113 1615880105232 13119 175 12668 276 lambda-2048
mProject 601 lambda-2048 180 79778 79598 1615880110898 1615880125483 14585 256 14128 201 lambda-2048
mProject 592 lambda-2048 169 79810 79641 1615880103958 1615880116808 12850 210 12428 212 lambda-2048
mProject 5 lambda-2048 27 78203 78176 1615880078145 1615880091325 13180 208 12747 225 lambda-2048
mProject 593 lambda-2048 171 78271 78100 1615880094551 1615880107611 13060 151 12726 183 lambda-2048
mProject 623 lambda-2048 201 79862 79661 1615880112488 1615880129321 16833 209 16434 190 lambda-2048
mProject 59 lambda-2048 131 78282 78151 1615880090552 1615880103689 13137 203 12683 251 lambda-2048
mProject 604 lambda-2048 182 78280 78098 1615880111379 1615880127067 15688 190 15298 200 lambda-2048
mProject 58 lambda-2048 130 78367 78237 1615880084581 1615880097594 13013 197 12641 175 lambda-2048
mProject 611 lambda-2048 188 78405 78217 1615880110994 1615880127288 16294 222 15854 218 lambda-2048
mProject 12 lambda-2048 38 78555 78517 1615880094380 1615880107637 13257 247 12730 280 lambda-2048
mProject 584 lambda-2048 162 79615 79453 1615880097109 1615880110852 13743 178 13359 206 lambda-2048
mProject 78 lambda-2048 154 79159 79005 1615880075175 1615880088531 13356 257 12878 221 lambda-2048
mProject 74 lambda-2048 149 78903 78754 1615880098013 1615880111883 13870 235 13440 195 lambda-2048
mProject 587 lambda-2048 165 79625 79460 1615880103320 1615880115933 12613 168 12225 220 lambda-2048
mProject 77 lambda-2048 153 79152 78999 1615880090185 1615880103016 12831 253 12395 183 lambda-2048
mProject 586 lambda-2048 164 79681 79517 1615880112433 1615880129708 17275 208 16871 196 lambda-2048
mProject 76 lambda-2048 152 79157 79005 1615880090652 1615880103819 13167 296 12645 226 lambda-2048
mProject 583 lambda-2048 161 79387 79226 1615880095772 1615880110185 14413 249 13948 216 lambda-2048
mProject 594 lambda-2048 172 79708 79536 1615880105221 1615880118487 13266 267 12790 209 lambda-2048
mProject 581 lambda-2048 159 79298 79139 1615880087319 1615880100638 13319 238 12858 223 lambda-2048
mProject 80 lambda-2048 157 79150 78993 1615880097898 1615880111872 13974 200 13444 330 lambda-2048
mProject 588 lambda-2048 166 79683 79517 1615880100468 1615880113524 13056 162 12672 222 lambda-2048
mProject 585 lambda-2048 164 79489 79325 1615880104598 1615880117621 13023 180 12655 188 lambda-2048
mProject 79 lambda-2048 155 79333 79178 1615880088141 1615880101647 13506 249 12977 280 lambda-2048
mProject 591 lambda-2048 169 79730 79561 1615880103828 1615880117129 13301 140 12822 339 lambda-2048
mProject 580 lambda-2048 158 79514 79356 1615880092567 1615880105763 13196 175 12711 310 lambda-2048
mProject 582 lambda-2048 160 79503 79343 1615880102488 1615880115374 12886 157 12531 198 lambda-2048
mProject 66 lambda-2048 139 78713 78574 1615880069408 1615880082625 13217 228 12733 256 lambda-2048
mProject 645 lambda-2048 225 78871 78646 1615880118788 1615880135950 17162 185 16763 214 lambda-2048
mProject 637 lambda-2048 215 79929 79714 1615880116079 1615880133538 17459 163 17117 179 lambda-2048
mProject 655 lambda-2048 241 83011 82770 1615880125396 1615880141861 16465 412 15823 230 lambda-2048
mProject 658 lambda-2048 244 82650 82406 1615880123879 1615880139880 16001 222 15576 203 lambda-2048
mProject 1172 lambda-2048 257 82771 82514 1615880122363 1615880138377 16014 194 15646 174 lambda-2048
mProject 1192 lambda-2048 274 133015 132741 1615880127392 1615880144602 17210 1142 15835 233 lambda-2048
mProject 1194 lambda-2048 276 144158 143882 1615880134322 1615880158224 23902 207 23518 177 lambda-2048
mDiffFit 888 lambda-2048 78696 144257 65561 1615880159307 1615880201817 42510 40783 1641 86 lambda-2048
mProject 1196 lambda-2048 277 144839 144562 1615880139839 1615880165787 25948 318 25464 166 lambda-2048
mProject 1191 lambda-2048 274 145108 144834 1615880152646 1615880186618 33972 2311 31456 205 lambda-2048
mProject 1198 lambda-2048 279 145411 145132 1615880147747 1615880175750 28003 499 27317 187 lambda-2048
mProject 1193 lambda-2048 275 145669 145394 1615880135079 1615880159464 24385 480 23745 160 lambda-2048
mProject 1199 lambda-2048 280 145919 145639 1615880130714 1615880151596 20882 403 20214 265 lambda-2048
mProject 1201 lambda-2048 282 147107 146825 1615880149143 1615880179084 29941 1192 28564 185 lambda-2048
mProject 1203 lambda-2048 283 147113 146830 1615880152556 1615880185344 32788 2221 30372 195 lambda-2048
mProject 1200 lambda-2048 281 147648 147367 1615880140470 1615880167142 26672 672 25821 179 lambda-2048
mProject 1202 lambda-2048 282 147892 147610 1615880135405 1615880158681 23276 180 22889 207 lambda-2048
mProject 1205 lambda-2048 284 148580 148296 1615880155044 1615880189396 34352 2608 31526 218 lambda-2048
mProject 1206 lambda-2048 285 148806 148521 1615880135526 1615880159692 24166 168 23825 173 lambda-2048
mProject 1212 lambda-2048 290 148869 148579 1615880133196 1615880157223 24027 334 23499 194 lambda-2048
mProject 1215 lambda-2048 292 148876 148584 1615880133233 1615880156549 23316 442 22575 299 lambda-2048
mProject 1214 lambda-2048 291 148930 148639 1615880145766 1615880175317 29551 1711 27611 229 lambda-2048
mProject 1217 lambda-2048 300 148944 148644 1615880136125 1615880159652 23527 457 22866 204 lambda-2048
mProject 1218 lambda-2048 301 149009 148708 1615880144493 1615880172190 27697 1060 26412 225 lambda-2048
mProject 1222 lambda-2048 306 149076 148770 1615880147998 1615880178649 30651 1998 28430 223 lambda-2048
mProject 1207 lambda-2048 286 149590 149304 1615880142653 1615880169234 26581 270 26113 198 lambda-2048
mProject 1208 lambda-2048 287 149642 149355 1615880133211 1615880156947 23736 320 23234 182 lambda-2048
mProject 1233 lambda-2048 314 149657 149343 1615880139138 1615880163982 24844 223 24349 272 lambda-2048
mProject 1210 lambda-2048 288 149799 149511 1615880143550 1615880169696 26146 499 25483 164 lambda-2048
mProject 45 lambda-2048 104 150289 150185 1615880162699 1615880201692 38993 3739 35116 138 lambda-2048
mProject 1216 lambda-2048 299 150316 150017 1615880141930 1615880169048 27118 294 26590 234 lambda-2048
mProject 48 lambda-2048 110 150380 150270 1615880143645 1615880171759 28114 1325 26564 225 lambda-2048
mProject 1221 lambda-2048 305 150394 150089 1615880143481 1615880170840 27359 1146 26037 176 lambda-2048
mProject 1220 lambda-2048 303 150442 150139 1615880150962 1615880183810 32848 2703 29920 225 lambda-2048
mProject 47 lambda-2048 108 150443 150335 1615880143855 1615880170723 26868 480 26083 305 lambda-2048
mProject 1188 lambda-2048 271 104217 103946 1615880125681 1615880141988 16307 848 15253 206 lambda-2048
mProject 612 lambda-2048 190 150567 150377 1615880123885 1615880140896 17011 177 16567 267 lambda-2048
mProject 1225 lambda-2048 308 150587 150279 1615880146878 1615880176271 29393 1935 27238 220 lambda-2048
mProject 638 lambda-2048 217 150633 150416 1615880130861 1615880153009 22148 1224 20653 271 lambda-2048
mProject 1230 lambda-2048 311 150648 150337 1615880153244 1615880187649 34405 3106 31123 176 lambda-2048
mProject 639 lambda-2048 218 150652 150434 1615880130884 1615880154125 23241 1278 21758 205 lambda-2048
mProject 1228 lambda-2048 310 150656 150346 1615880152509 1615880186738 34229 2327 31624 278 lambda-2048
mProject 1229 lambda-2048 310 150672 150362 1615880136348 1615880159998 23650 391 23034 225 lambda-2048
mProject 1190 lambda-2048 273 132991 132718 1615880134119 1615880158483 24364 165 23922 277 lambda-2048
mProject 26 lambda-2048 64 132696 132632 1615880133031 1615880156342 23311 589 22525 197 lambda-2048
mProject 652 lambda-2048 232 150760 150528 1615880134273 1615880157294 23021 313 22503 205 lambda-2048
mProject 654 lambda-2048 234 150772 150538 1615880129626 1615880151743 22117 1024 20854 239 lambda-2048
mProject 651 lambda-2048 231 150776 150545 1615880129244 1615880150702 21458 1132 20132 194 lambda-2048
mProject 657 lambda-2048 243 150777 150534 1615880139743 1615880166427 26684 692 25807 185 lambda-2048
mProject 656 lambda-2048 242 150800 150558 1615880137385 1615880162433 25048 778 24057 213 lambda-2048
mProject 1173 lambda-2048 258 150806 150548 1615880138365 1615880165018 26653 388 26069 196 lambda-2048
mProject 1174 lambda-2048 259 150823 150564 1615880138407 1615880163151 24744 187 24382 175 lambda-2048
mProject 1181 lambda-2048 264 150829 150565 1615880147630 1615880177163 29533 1832 27530 171 lambda-2048
mProject 1177 lambda-2048 261 150835 150574 1615880131562 1615880155133 23571 441 20899 2231 lambda-2048
mProject 25 lambda-2048 62 150840 150778 1615880125560 1615880142349 16789 847 15728 214 lambda-2048
mProject 1182 lambda-2048 265 150861 150596 1615880141197 1615880167134 25937 237 25458 242 lambda-2048
mProject 1232 lambda-2048 313 150864 150551 1615880160258 1615880197314 37056 2805 34015 236 lambda-2048
mDiffFit 777 lambda-2048 78797 150869 72072 1615880161148 1615880207589 46441 41458 4922 61 lambda-2048
mProject 1235 lambda-2048 316 150869 150553 1615880145418 1615880174492 29074 2376 26471 227 lambda-2048
mProject 1234 lambda-2048 315 150903 150588 1615880162025 1615880208080 46055 1763 44069 223 lambda-2048
mProject 1238 lambda-2048 318 150917 150599 1615880149203 1615880180239 31036 1535 29305 196 lambda-2048
mProject 1236 lambda-2048 316 150924 150608 1615880168983 1615880209791 40808 3534 37073 201 lambda-2048
mProject 1237 lambda-2048 317 150932 150615 1615880169055 1615880209949 40894 4072 36613 209 lambda-2048
mProject 29 lambda-2048 70 151015 150945 1615880156270 1615880190497 34227 2335 31666 226 lambda-2048
mProject 31 lambda-2048 74 151056 150982 1615880156300 1615880190833 34533 1451 32889 193 lambda-2048
mProject 1204 lambda-2048 284 148113 147829 1615880152751 1615880185306 32555 2086 30292 177 lambda-2048
mProject 27 lambda-2048 66 148799 148733 1615880154429 1615880186240 31811 1242 30337 232 lambda-2048
mProject 34 lambda-2048 80 151509 151429 1615880142044 1615880169410 27366 243 26845 278 lambda-2048
mProject 35 lambda-2048 82 151573 151491 1615880156646 1615880193403 36757 3683 32858 216 lambda-2048
mProject 36 lambda-2048 86 151655 151569 1615880154129 1615880188939 34810 2790 31844 176 lambda-2048
mProject 38 lambda-2048 89 151668 151579 1615880143174 1615880169103 25929 611 25142 176 lambda-2048
