task id resource request_start request_end request_duration start end time downloaded executed uploaded type
bwa-wrapper 1 lambda-4096 0 27776 27776 1618276251399 1618276271942 20543 0 20519 0 lambda-4096
picard-wrapper 2 lambda-4096 27791 33799 6008 1618276277170 1618276279720 2550 0 2550 0 lambda-4096
picard-wrapper 3 lambda-4096 33803 39636 5833 1618276283014 1618276284275 1261 0 1261 0 lambda-4096
picard-wrapper 4 lambda-4096 39641 45479 5838 1618276288848 1618276289390 542 0 542 0 lambda-4096
gatk-wrapper 5 lambda-4096 45491 232160 186669 1618276294709 1618276476081 181372 0 181372 0 lambda-4096
gatk-wrapper 6 lambda-4096 232175 269511 37336 1618276481501 1618276515026 33525 0 33525 0 lambda-4096
gatk-wrapper 11 lambda-4096 269571 340425 70854 1618276518787 1618276588389 69602 0 69602 0 lambda-4096
gatk-wrapper 17 lambda-4096 269580 340483 70903 1618276520893 1618276586380 65487 0 65487 0 lambda-4096
gatk-wrapper 22 lambda-4096 269586 340504 70918 1618276521464 1618276588189 66725 0 66725 0 lambda-4096
gatk-wrapper 18 lambda-4096 269581 345587 76006 1618276520922 1618276589974 69052 0 69052 0 lambda-4096
gatk-wrapper 13 lambda-4096 269574 345729 76155 1618276520506 1618276593235 72729 0 72728 0 lambda-4096
gatk-wrapper 23 lambda-4096 269587 345886 76299 1618276521050 1618276591737 70687 0 70686 0 lambda-4096
gatk-wrapper 26 lambda-4096 269593 350905 81312 1618276520707 1618276596879 76172 0 76172 0 lambda-4096
gatk-wrapper 10 lambda-4096 269570 351053 81483 1618276518813 1618276599304 80491 0 80490 0 lambda-4096
gatk-wrapper 15 lambda-4096 269578 351066 81488 1618276520798 1618276599579 78781 0 78781 0 lambda-4096
gatk-wrapper 19 lambda-4096 269583 351069 81486 1618276520488 1618276594869 74381 0 74381 0 lambda-4096
gatk-wrapper 20 lambda-4096 269584 351142 81558 1618276520885 1618276599600 78715 0 78714 0 lambda-4096
gatk-wrapper 9 lambda-4096 269597 351145 81548 1618276521215 1618276597740 76525 0 76525 0 lambda-4096
gatk-wrapper 16 lambda-4096 269579 356224 86645 1618276521133 1618276602489 81356 0 81355 0 lambda-4096
gatk-wrapper 25 lambda-4096 269591 356226 86635 1618276521505 1618276602017 80512 0 80512 0 lambda-4096
gatk-wrapper 21 lambda-4096 269585 356259 86674 1618276521447 1618276602403 80956 0 80956 0 lambda-4096
gatk-wrapper 8 lambda-4096 269595 356332 86737 1618276522853 1618276600954 78101 0 78101 0 lambda-4096
gatk-wrapper 14 lambda-4096 269575 356334 86759 1618276521528 1618276600284 78756 0 78755 0 lambda-4096
gatk-wrapper 12 lambda-4096 269573 356388 86815 1618276520650 1618276602640 81990 0 81990 0 lambda-4096
gatk-wrapper 24 lambda-4096 269589 361798 92209 1618276521452 1618276606112 84660 0 84660 0 lambda-4096
gatk-wrapper 7 lambda-4096 269594 372246 102652 1618276520967 1618276619505 98538 0 98538 0 lambda-4096
gatk-wrapper 32 lambda-4096 340441 394856 54415 1618276589777 1618276642614 52837 0 52837 0 lambda-4096
gatk-wrapper 38 lambda-4096 340488 394884 54396 1618276589815 1618276638614 48799 0 48799 0 lambda-4096
gatk-wrapper 43 lambda-4096 340510 394887 54377 1618276589864 1618276640278 50414 0 50414 0 lambda-4096
gatk-wrapper 39 lambda-4096 345594 399275 53681 1618276594829 1618276646345 51516 0 51516 0 lambda-4096
gatk-wrapper 34 lambda-4096 345736 399649 53913 1618276595010 1618276648163 53153 0 53153 0 lambda-4096
gatk-wrapper 44 lambda-4096 345894 400099 54205 1618276595111 1618276647461 52350 0 52350 0 lambda-4096
gatk-wrapper 30 lambda-4096 351166 405527 54361 1618276600447 1618276654222 53775 0 53775 0 lambda-4096
gatk-wrapper 36 lambda-4096 351080 410125 59045 1618276600289 1618276656872 56583 0 56583 0 lambda-4096
gatk-wrapper 47 lambda-4096 350917 410168 59251 1618276600151 1618276655603 55452 0 55452 0 lambda-4096
gatk-wrapper 40 lambda-4096 351084 410455 59371 1618276600330 1618276654457 54127 0 54127 0 lambda-4096
gatk-wrapper 31 lambda-4096 351060 410677 59617 1618276600323 1618276658334 58011 0 58011 0 lambda-4096
gatk-wrapper 41 lambda-4096 351154 410788 59634 1618276600396 1618276656380 55984 0 55984 0 lambda-4096
gatk-wrapper 46 lambda-4096 356240 415255 59015 1618276605475 1618276662180 56705 0 56705 0 lambda-4096
gatk-wrapper 37 lambda-4096 356235 415394 59159 1618276605474 1618276662238 56764 0 56764 0 lambda-4096
gatk-wrapper 29 lambda-4096 356345 415428 59083 1618276605576 1618276660938 55362 0 55362 0 lambda-4096
gatk-wrapper 42 lambda-4096 356270 415551 59281 1618276605482 1618276662585 57103 0 57103 0 lambda-4096
gatk-wrapper 35 lambda-4096 356351 415654 59303 1618276605573 1618276660313 54740 0 54740 0 lambda-4096
