task id resource request_start request_end request_duration start end time downloaded executed uploaded type
bwa-wrapper 1 lambda-3072 0 27782 27782 1617141168141 1617141188758 20617 0 20617 0 lambda-3072
picard-wrapper 2 lambda-3072 27786 33752 5966 1617141193384 1617141194256 872 0 872 0 lambda-3072
picard-wrapper 3 lambda-3072 33756 39590 5834 1617141199299 1617141199481 182 0 182 0 lambda-3072
picard-wrapper 4 lambda-3072 39602 40404 802 1617141205166 1617141205334 168 0 168 0 lambda-3072
gatk-wrapper 5 lambda-3072 40407 78784 38377 1617141206110 1617141239114 33004 0 33004 0 lambda-3072
gatk-wrapper 6 lambda-3072 78788 121781 42993 1617141244456 1617141277250 32794 0 32794 0 lambda-3072
gatk-wrapper 21 lambda-3072 121865 159677 37812 1617141289621 1617141323690 34069 0 34069 0 lambda-3072
gatk-wrapper 10 lambda-3072 121834 159679 37845 1617141289666 1617141323660 33994 0 33993 0 lambda-3072
gatk-wrapper 12 lambda-3072 121839 159713 37874 1617141289773 1617141323724 33951 0 33951 0 lambda-3072
gatk-wrapper 22 lambda-3072 121867 159721 37854 1617141289389 1617141323320 33931 0 33930 0 lambda-3072
gatk-wrapper 11 lambda-3072 121836 159854 38018 1617141289379 1617141323203 33824 0 33823 0 lambda-3072
gatk-wrapper 13 lambda-3072 121841 159855 38014 1617141289783 1617141323861 34078 0 34078 0 lambda-3072
gatk-wrapper 14 lambda-3072 121843 159869 38026 1617141289736 1617141323587 33851 0 33851 0 lambda-3072
gatk-wrapper 24 lambda-3072 121873 159887 38014 1617141289924 1617141323855 33931 0 33931 0 lambda-3072
gatk-wrapper 23 lambda-3072 121871 159973 38102 1617141289777 1617141323647 33870 0 33870 0 lambda-3072
gatk-wrapper 26 lambda-3072 121881 159975 38094 1617141289506 1617141323433 33927 0 33927 0 lambda-3072
gatk-wrapper 7 lambda-3072 121883 160050 38167 1617141289774 1617141323741 33967 0 33966 0 lambda-3072
gatk-wrapper 9 lambda-3072 121889 160121 38232 1617141289561 1617141323915 34354 0 34354 0 lambda-3072
gatk-wrapper 8 lambda-3072 121886 160438 38552 1617141290136 1617141324052 33916 0 33916 0 lambda-3072
gatk-wrapper 25 lambda-3072 121878 160518 38640 1617141289866 1617141323882 34016 0 34016 0 lambda-3072
gatk-wrapper 16 lambda-3072 121851 160543 38692 1617141289395 1617141323299 33904 0 33904 0 lambda-3072
gatk-wrapper 18 lambda-3072 121858 160967 39109 1617141287675 1617141320455 32780 0 32780 0 lambda-3072
gatk-wrapper 15 lambda-3072 121846 160967 39121 1617141289776 1617141323819 34043 0 34043 0 lambda-3072
gatk-wrapper 20 lambda-3072 121862 161117 39255 1617141289887 1617141323954 34067 0 34067 0 lambda-3072
gatk-wrapper 17 lambda-3072 121853 161123 39270 1617141289738 1617141323549 33811 0 33811 0 lambda-3072
gatk-wrapper 19 lambda-3072 121860 161144 39284 1617141289657 1617141323514 33857 0 33856 0 lambda-3072
gatk-wrapper 42 lambda-3072 159687 193018 33331 1617141325728 1617141358073 32345 0 32345 0 lambda-3072
gatk-wrapper 34 lambda-3072 159864 193019 33155 1617141325654 1617141358024 32370 0 32370 0 lambda-3072
