task id resource fire_time start_time end_time time execution_time upload_time cpu memory
mProject 2 fargate 0 52993 67853 14860 164 14455 176 05 2
mProject 1 fargate 0 53616 79786 26170 217 25596 351 05 2
mProject 10 fargate 0 53697 80552 26855 171 26350 328 05 2
mProject 9 fargate 0 53148 79217 26069 196 25613 256 05 2
mProject 8 fargate 0 52416 78619 26203 230 25686 284 05 2
mProject 3 fargate 0 56020 82200 26180 223 25708 244 05 2
mProject 6 fargate 0 53595 79770 26175 181 25741 249 05 2
mProject 214 fargate 11137 61245 78762 17517 204 17106 203 05 2
mProject 212 fargate 11135 65308 82550 17242 191 16836 212 05 2
mProject 4 fargate 0 64069 83716 19647 260 19165 218 05 2
mProject 7 fargate 0 57565 83606 26041 188 25589 259 05 2
mProject 5 fargate 0 59160 85510 26350 270 25838 239 05 2
mProject 216 fargate 11140 62265 88116 25851 275 25337 235 05 2
mProject 213 fargate 11136 64564 85615 21051 193 20626 228 05 2
mProject 208 fargate 11129 64765 90920 26155 195 25711 245 05 2
mProject 217 fargate 11141 63990 89805 25815 213 25383 216 05 2
mProject 209 fargate 11131 64443 91303 26860 228 26377 250 05 2
mProject 215 fargate 11139 64102 89676 25574 213 25158 199 05 2
mProject 210 fargate 11132 64357 90414 26057 221 25584 249 05 2
mProject 211 fargate 11133 64721 90690 25969 202 25518 246 05 2
mProject 251 fargate 21416 72668 98731 26063 179 25626 253 05 2
mProject 256 fargate 21434 76344 97439 21095 187 20707 198 05 2
mProject 249 fargate 21409 75167 101155 25988 189 25546 248 05 2
mProject 248 fargate 21406 74735 100937 26202 180 25750 265 05 2
mProject 255 fargate 21430 76845 102581 25736 197 25304 231 05 2
mProject 253 fargate 21423 74413 100777 26364 210 25897 254 05 2
mProject 250 fargate 21413 74347 100424 26077 208 25586 279 05 2
mProject 254 fargate 21427 74950 100720 25770 214 25308 245 05 2
mProject 3271 fargate 21508 75178 101157 25979 203 25523 250 05 2
mProject 252 fargate 21420 74940 101150 26210 229 25760 218 05 2
mProject 1763 fargate 31538 85510 106435 20925 199 20421 301 05 2
mProject 3394 fargate 31615 80150 105791 25641 192 25201 244 05 2
mProject 11 fargate 31611 80638 106901 26263 166 25764 271 05 2
mProject 3393 fargate 31594 85019 110793 25774 197 25306 266 05 2
mProject 3398 fargate 31623 84201 110341 26140 218 25676 243 05 2
mProject 3397 fargate 31621 85825 111534 25709 155 25255 234 05 2
mProject 3391 fargate 31579 84720 110143 25423 193 24921 305 05 2
mProject 3392 fargate 31585 84625 110282 25657 197 25214 240 05 2
mProject 3396 fargate 31619 84378 110084 25706 217 25189 294 05 2
mProject 3395 fargate 31617 85019 110706 25687 170 25246 266 05 2
mProject 1859 fargate 41627 95127 116271 21144 209 20688 244 05 2
mProject 1854 fargate 41597 91468 117622 26154 197 25698 256 05 2
mProject 1871 fargate 51770 105083 119867 14784 185 14437 157 05 2
mProject 3231 fargate 51779 105349 122915 17566 189 17193 180 05 2
mProject 1858 fargate 41622 94945 121512 26567 269 26034 260 05 2
mProject 1855 fargate 41602 93836 120111 26275 203 25811 258 05 2
mProject 1863 fargate 41639 96090 122328 26238 219 25791 223 05 2
mProject 1856 fargate 41609 95228 121487 26259 236 25773 246 05 2
mProject 1860 fargate 41631 95323 121397 26074 250 25572 247 05 2
mProject 1862 fargate 41637 95618 121838 26220 240 25754 220 05 2
mProject 1857 fargate 41616 96245 122595 26350 220 25880 246 05 2
mProject 1861 fargate 41634 94052 119882 25830 201 25333 291 05 2
mProject 3235 fargate 51805 105182 126051 20869 200 20404 262 05 2
mProject 3233 fargate 51792 104793 125744 20951 214 20516 216 05 2
mProject 3236 fargate 51814 98973 124980 26007 204 25489 309 05 2
mProject 173 fargate 62005 114840 129663 14823 187 14486 146 05 2
mProject 3453 fargate 51643 105036 130796 25760 262 25243 251 05 2
mProject 3232 fargate 51785 104520 130454 25934 210 25481 240 05 2
mProject 3455 fargate 51655 104669 130344 25675 207 25272 191 05 2
mProject 3234 fargate 51800 105013 130737 25724 170 25329 221 05 2
mProject 3354 fargate 61654 115428 136751 21323 195 20887 237 05 2
mProject 172 fargate 62004 112215 138341 26126 194 25701 228 05 2
mProject 3454 fargate 51651 111974 137620 25646 207 25114 321 05 2
mProject 3309 fargate 61879 115583 141165 25582 182 25206 190 05 2
mProject 3355 fargate 61661 115661 141810 26149 223 25675 246 05 2
mProject 3272 fargate 61645 115718 141877 26159 217 25702 236 05 2
mProject 1843 fargate 72194 125316 140205 14889 207 14519 159 05 2
mProject 3390 fargate 61888 115671 141419 25748 270 25230 244 05 2
mProject 1842 fargate 72190 125236 140106 14870 190 14517 159 05 2
mProject 169 fargate 61843 115508 141208 25700 202 25269 225 05 2
mProject 171 fargate 62002 114370 140492 26122 221 25672 224 05 2
mProject 170 fargate 62001 115839 142141 26302 196 25810 291 05 2
mProject 3389 fargate 71655 120751 146297 25546 181 25125 234 05 2
mProject 1764 fargate 71778 125496 146485 20989 212 20512 261 05 2
mProject 3292 fargate 71646 122567 148140 25573 202 25117 250 05 2
mProject 54 fargate 71887 122984 148733 25749 273 25237 234 05 2
mProject 3311 fargate 72077 125854 145210 19356 209 18982 160 05 2
mProject 55 fargate 71891 124794 150532 25738 131 25384 218 05 2
mProject 3310 fargate 71843 126659 152714 26055 211 25601 239 05 2
mProject 1841 fargate 72185 125855 152208 26353 222 25876 249 05 2
mProject 56 fargate 81789 131136 157353 26217 205 25787 221 05 2
mProject 1765 fargate 81719 135871 157027 21156 181 20796 174 05 2
mProject 1717 fargate 81927 134738 155891 21153 182 20755 213 05 2
mProject 120 fargate 82205 131529 157876 26347 302 25798 244 05 2
mProject 3353 fargate 82204 130898 157227 26329 180 25911 234 05 2
mProject 3238 fargate 92322 145748 163235 17487 180 17124 178 05 2
mProject 3473 fargate 81647 134541 160720 26179 247 25684 243 05 2
mProject 1689 fargate 92230 145330 163026 17696 261 17240 192 05 2
mProject 1718 fargate 81937 134690 161129 26439 207 25987 241 05 2
mProject 1716 fargate 81921 137160 163719 26559 239 26090 226 05 2
mProject 117 fargate 82108 135988 161668 25680 222 25245 210 05 2
mProject 119 fargate 82189 134603 160752 26149 202 25726 216 05 2
mProject 1766 fargate 91664 145073 166281 21208 194 20800 210 05 2
mProject 57 fargate 91739 146580 167844 21264 189 20831 239 05 2
mProject 219 fargate 92126 144962 165910 20948 176 20529 239 05 2
mProject 1656 fargate 91811 145765 171502 25737 194 25306 231 05 2
mProject 3329 fargate 91940 144425 170496 26071 200 25616 250 05 2
mProject 3327 fargate 91938 145881 171999 26118 190 25701 222 05 2
mProject 3328 fargate 91939 142651 168449 25798 207 25391 196 05 2
mProject 3237 fargate 92299 144689 170370 25681 183 25236 258 05 2
mProject 233 fargate 102343 157089 176541 19452 191 19032 225 05 2
mProject 3437 fargate 102309 156425 175985 19560 210 19113 232 05 2
mProject 1693 fargate 101946 154526 180630 26104 205 25692 203 05 2
mProject 115 fargate 102151 155158 181438 26280 223 25843 210 05 2
mProject 155 fargate 111673 165080 179552 14472 207 14101 161 05 2
mProject 166 fargate 101669 155466 181338 25872 194 25298 376 05 2
mProject 188 fargate 101815 154600 180817 26217 203 25789 222 05 2
mProject 3486 fargate 101741 157787 183983 26196 192 25740 260 05 2
mProject 3436 fargate 102279 158863 184825 25962 221 25485 251 05 2
mProject 1617 fargate 111946 165225 184809 19584 199 19185 195 05 2
mProject 1691 fargate 101938 154148 180835 26687 127 26291 265 05 2
mDiffFit 296 fargate 132019 184569 185295 726 614 13 96 05 2
mDiffFit 282 fargate 132074 186608 187343 735 676 14 41 05 2
mDiffFit 1368 fargate 142440 190986 191739 753 695 13 41 05 2
mProject 21 fargate 112007 166451 186253 19802 192 19406 199 05 2
mProject 3330 fargate 111742 165418 191473 26055 158 25573 259 05 2
mProject 1832 fargate 111880 164735 190976 26241 324 25609 304 05 2
mProject 3240 fargate 112292 166134 191891 25757 183 25323 248 05 2
mProject 3448 fargate 112310 165463 191001 25538 204 25098 232 05 2
mProject 1675 fargate 112223 164460 190814 26354 286 25825 239 05 2
mProject 3435 fargate 112003 165015 191499 26484 150 25989 285 05 2
mProject 1692 fargate 101942 165456 191766 26310 219 25865 223 05 2
mProject 114 fargate 112352 165393 191520 26127 195 25698 229 05 2
mDiffFit 275 fargate 142112 195959 196693 734 618 71 41 05 2
mProject 1784 fargate 122272 175599 196634 21035 201 20612 218 05 2
mProject 1769 fargate 122376 176075 197130 21055 182 20644 224 05 2
mProject 65 fargate 122452 172132 198188 26056 222 25570 260 05 2
mProject 3438 fargate 132298 185669 200187 14518 212 14070 231 05 2
mProject 3331 fargate 121676 174553 200566 26013 179 25535 295 05 2
